html_url,stargazers_count,forks_count,open_issues_count,contributors_count
https://github.com/21ca/21ca.github.io,0,0,0,1
https://github.com/6r1d/6r1d.github.io,0,0,0,1
https://github.com/arlac77/aggregation-repository-provider,1,0,0,2
https://github.com/maximelenormand/AHIA,0,0,0,1
https://github.com/alfaromontufar/alfaromontufar.github.io,0,0,0,1
https://github.com/LoTerence/altcoin-charter,0,0,0,1
https://github.com/angular/angular-devkit-core-builds,6,4,0,5
https://github.com/angular/angular-devkit-schematics-cli-builds,2,4,0,5
https://github.com/githublitao/api_automation_test,1599,856,9,2
https://github.com/UKHomeOffice/asl-public-api,0,1,0,20
https://github.com/UKHomeOffice/asl-service,0,2,0,21
https://github.com/Sophobiaful/BatGenV2,0,0,0,1
https://github.com/console0326/Battle-City,0,0,0,4
https://github.com/berkerol/battle-pong,0,0,0,1
https://github.com/honeycombio/beeline-nodejs,54,57,8,161
https://github.com/zhouchengkho/bio,0,0,0,1
https://github.com/mr-ravin/Blocks-N-Head,0,0,0,1
https://github.com/pixilab/blocks-script,10,13,0,12
https://github.com/mkdinh/bootcamp-manager,1,0,25,1
https://github.com/bugsnag/bugsnag-build-reporter-node,5,4,3,75
https://github.com/nuintun/bundler,1,0,0,1
https://github.com/ntjnh/calculator,1,0,0,1
https://github.com/jbrodie/calendar_weekly,1,0,2,1
https://github.com/canboat/canboatjs,100,43,8,14
https://github.com/ccd97/ccd97.github.io,0,0,0,1
https://github.com/sjakthol/cfn-execute-change-set,3,1,0,1
https://github.com/y13i/cfn-schema,10,1,7,2
https://github.com/ChangWinde/ChangWinde.github.io,2,0,0,1
https://github.com/pageboard/client,4,0,137,2
https://github.com/SQLCODE917/CommandQueue,0,0,0,1
https://github.com/discourse-lab/Connective-Lex.info,2,2,0,6
https://github.com/ShowingCloud/Dabih,0,2,0,2
https://github.com/dan-mba/dan-mba.github.io,4,0,0,2
https://github.com/gardener/dashboard,208,110,96,71
https://github.com/movableink/data-sources-parser,0,0,0,12
https://github.com/DataDog/dd-trace-js,684,321,305,468
https://github.com/DenmarkG/denmarkg.github.io,1,0,0,1
https://github.com/ervin210/DevAV,0,0,33,0
https://github.com/DhananjayGupta300/DhananjayGupta300.github.io,2,0,3,1
https://github.com/dhjz/dhjz.github.io,1,0,0,2
https://github.com/ayselafsar/dicomviewer,236,53,10,5
https://github.com/hmerritt/discord-encryption,44,9,2,2
https://github.com/techiediaries/django-auth0-vue,112,27,2,1
https://github.com/globus/django-globus-portal-framework,13,14,5,12
https://github.com/duchuydo/duchuydo.github.io,0,0,0,1
https://github.com/electerm/electerm-locales,24,84,1,17
https://github.com/onechiporenko/ember-bootstrap-modals-manager,10,9,13,7
https://github.com/nickschot/ember-mobile-menu,34,9,24,8
https://github.com/nickschot/ember-mobile-pane,4,2,13,2
https://github.com/ehfraim/emporniumuserscripts,11,1,0,1
https://github.com/pubkey/eth-crypto,899,161,2,18
https://github.com/ev-church-website/ev-church-website,1,0,0,3
https://github.com/ooni/explorer,77,38,109,32
https://github.com/fastify/fastify-citgm,3,2,0,6
https://github.com/fnproject/fdk-node,23,12,14,22
https://github.com/IAmAnubhavSaini/find-this-value,3,2,0,4
https://github.com/aenon/firefox-extensions,4,0,2,1
https://github.com/flespi-software/flespi-io-js,11,6,13,3
https://github.com/explorable-viz/fluid,39,4,111,17
https://github.com/mdefaux/forte-table,2,2,2,4
https://github.com/fosskers/fosskers.ca,9,3,0,2
https://github.com/orangecoding/fredy,258,66,0,19
https://github.com/HeliumEdu/frontend,1,0,1,1
https://github.com/bftv/fsttheme,0,0,0,2
https://github.com/energydrink9/functional-data-grid,131,13,25,5
https://github.com/algogrit/gauravagarwalr.com,1,0,0,1
https://github.com/korbinZhang/gomoku,1,0,0,1
https://github.com/graphql-dotnet/graphql-dotnet.github.io,2,6,1,13
https://github.com/scott113341/group-sms,0,1,0,3
https://github.com/tandrewnichols/grunt-simple-nyc,0,1,0,2
https://github.com/DEFRA/hapi-pg-rest-api,4,1,0,13
https://github.com/hegyhati/hegyhati.github.io,0,0,0,1
https://github.com/dscalzi/HeliosLauncher,891,1829,39,11
https://github.com/johnluffa/hello-world,1,0,0,1
https://github.com/gddickinson/hexChess,1,0,0,1
