projectName,criticalSeverityCount,highSeverityCount,mediumSeverityCount,lowSeverityCount,totalVulnerabilities,numberOfIssuesRelatedToConsistentCode,numberOfIssuesRelatedToIntentionalCode,numberOfIssuesRelatedToAdaptableCode,numberOfIssuesRelatedToResponsibleCode,numberOfBugs,numberOfCodeSmells,full_name,html_url,description,language,created_at,updated_at,pushed_at,stargazers_count,forks_count,open_issues_count,license,topics,totalTimeNeededToRemoveDebts_mins
21ca.github.io,0,0,0,0,0,0,100,0,0,0,100,21ca/21ca.github.io,https://github.com/21ca/21ca.github.io,,JavaScript,2018-01-11T03:19:00Z,2025-02-28T07:49:18Z,2025-02-28T07:49:15Z,0,0,0,,[],500
6r1d.github.io,0,0,0,0,0,0,26,0,0,0,26,6r1d/6r1d.github.io,https://github.com/6r1d/6r1d.github.io,Github.io site,JavaScript,2018-01-10T03:28:11Z,2025-02-17T09:15:08Z,2025-02-17T09:15:04Z,0,0,0,,[],130
aggregation-repository-provider,0,0,0,0,0,0,9,0,0,0,9,arlac77/aggregation-repository-provider,https://github.com/arlac77/aggregation-repository-provider,aggregates several repository providers into one,JavaScript,2018-01-13T14:21:15Z,2025-03-17T17:33:47Z,2025-03-17T17:33:43Z,1,0,0,BSD Zero Clause License,[],37
AHIA,0,0,0,0,0,1,98,1,0,1,99,maximelenormand/AHIA,https://github.com/maximelenormand/AHIA,Visualizing multiscale socio-ecological interactions using Flickr data,JavaScript,2018-01-29T10:17:19Z,2025-02-26T10:22:01Z,2025-02-26T10:21:57Z,0,0,0,GNU General Public License v3.0,[],553
alfaromontufar.github.io,0,0,0,0,0,28,69,3,0,35,65,alfaromontufar/alfaromontufar.github.io,https://github.com/alfaromontufar/alfaromontufar.github.io,,JavaScript,2018-01-04T11:17:53Z,2025-02-24T11:16:57Z,2025-02-24T11:16:53Z,0,0,0,,[],556
altcoin-charter,54,151,124,3,332,52,36,1,1,4,85,LoTerence/altcoin-charter,https://github.com/LoTerence/altcoin-charter,Charts the value of crypto currencies chosen by an authenticated user.  Built with MERN stack,JavaScript,2018-01-16T05:01:47Z,2025-03-03T03:42:33Z,2025-03-03T03:42:27Z,0,0,0,MIT License,[],434
angular-devkit-core-builds,0,0,0,0,0,25,63,12,0,0,100,angular/angular-devkit-core-builds,https://github.com/angular/angular-devkit-core-builds,Snapshots for @angular-devkit/core,JavaScript,2018-01-25T21:44:11Z,2025-03-17T16:35:32Z,2025-03-17T16:35:30Z,6,4,0,MIT License,[],870
angular-devkit-schematics-cli-builds,0,0,0,0,0,6,6,0,0,0,12,angular/angular-devkit-schematics-cli-builds,https://github.com/angular/angular-devkit-schematics-cli-builds,Build artifacts for @angular-devkit/schematics-cli,JavaScript,2018-01-30T23:07:54Z,2025-03-17T16:35:39Z,2025-03-17T16:35:36Z,2,4,0,MIT License,[],90
api_automation_test,24,112,101,3,240,4,43,51,2,1,97,githublitao/api_automation_test,https://github.com/githublitao/api_automation_test,接口自动化测试平台（老平台移步master_old分支）,JavaScript,2018-01-10T10:35:27Z,2025-03-17T15:53:26Z,2025-03-17T08:25:05Z,1599,856,9,MIT License,"['apitest', 'django', 'python3', 'requests', 'vue']",2013
asl-public-api,10,76,54,2,142,5,13,18,0,0,36,UKHomeOffice/asl-public-api,https://github.com/UKHomeOffice/asl-public-api,"API server providing access to licence and user data. Exposes a public API for external systems and users, allowing integration with ASPeL's functionalities and data through authenticated access.",JavaScript,2018-01-26T10:56:41Z,2025-03-12T09:16:37Z,2025-03-12T09:16:35Z,0,1,0,MIT License,[],447
asl-service,9,80,51,2,142,33,10,8,0,2,49,UKHomeOffice/asl-service,https://github.com/UKHomeOffice/asl-service,"Module for rapid bootstrapping of an express app for a Home Office design system themed, react-based ui or api with logging, authentication and session handling configured as appropriate.",JavaScript,2018-01-25T14:38:05Z,2025-03-11T10:49:22Z,2025-03-11T11:22:34Z,0,2,0,MIT License,[],392
BatGenV2,0,0,0,0,0,1,96,3,0,2,98,Sophobiaful/BatGenV2,https://github.com/Sophobiaful/BatGenV2,A new version of my BatGen website. Hopefully using javascript frameworks for templating and backend. Will not be using PHP in this one.,JavaScript,2018-01-22T18:38:57Z,2025-02-12T01:29:57Z,2025-02-12T01:29:53Z,0,0,0,MIT License,[],633
Battle-City,0,0,1,0,1,0,100,0,0,17,83,console0326/Battle-City,https://github.com/console0326/Battle-City,,JavaScript,2018-01-26T06:59:47Z,2025-02-12T09:07:14Z,2025-02-12T09:07:10Z,0,0,0,,[],424
battle-pong,0,0,0,0,0,7,9,2,0,4,14,berkerol/battle-pong,https://github.com/berkerol/battle-pong,Remake of the classic game with rockets and different game types,JavaScript,2018-01-06T19:42:58Z,2025-03-03T18:43:06Z,2025-03-03T18:43:02Z,0,0,0,GNU General Public License v3.0,"['hacktoberfest', 'pong', 'pong-game', 'pong-js']",95
beeline-nodejs,16,64,41,2,123,18,17,24,0,2,57,honeycombio/beeline-nodejs,https://github.com/honeycombio/beeline-nodejs,Legacy instrumentation for node.js applications with Honeycomb,JavaScript,2018-01-21T03:32:10Z,2025-02-11T19:59:20Z,2025-02-11T19:59:19Z,54,57,8,Apache License 2.0,[],646
bio,26,56,42,2,126,4,96,0,0,11,89,zhouchengkho/bio,https://github.com/zhouchengkho/bio,"bio website using express, check it out:)",JavaScript,2018-01-13T21:05:22Z,2025-02-14T05:24:09Z,2025-02-14T05:24:05Z,0,0,0,,[],454
Blocks-N-Head,0,0,0,0,0,2,96,2,0,3,97,mr-ravin/Blocks-N-Head,https://github.com/mr-ravin/Blocks-N-Head,Blocks 'N' Head is an open-source game where the objective is to help the character avoid falling blocks.,JavaScript,2018-01-31T06:10:46Z,2025-02-25T14:03:05Z,2025-02-25T14:01:49Z,0,0,0,Other,"['game-development', 'godot', 'godot-game', 'indie-game', 'indie-game-dev', 'opensource-game']",769
blocks-script,0,0,0,0,0,6,91,3,0,0,100,pixilab/blocks-script,https://github.com/pixilab/blocks-script,"Scripting support for use with PIXILAB Blocks®, including custom device drivers.",JavaScript,2018-01-03T16:56:32Z,2025-02-26T14:38:15Z,2025-02-26T14:38:12Z,10,13,0,Other,[],525
bootcamp-manager,44,122,113,6,285,46,52,2,0,9,91,mkdinh/bootcamp-manager,https://github.com/mkdinh/bootcamp-manager,,JavaScript,2018-01-15T21:40:55Z,2025-02-12T19:41:15Z,2025-02-12T19:41:11Z,1,0,25,,[],516
bugsnag-build-reporter-node,8,27,24,1,60,0,7,0,0,3,4,bugsnag/bugsnag-build-reporter-node,https://github.com/bugsnag/bugsnag-build-reporter-node,A tool for reporting your application's builds to BugSnag,JavaScript,2018-01-04T16:34:18Z,2025-03-17T13:59:58Z,2025-03-17T13:59:53Z,5,4,3,MIT License,"['bugsnag', 'platforms']",50
bundler,0,0,0,0,0,0,14,2,0,0,16,nuintun/bundler,https://github.com/nuintun/bundler,An async file dependency bundle parser,JavaScript,2018-01-25T04:06:52Z,2025-03-03T02:44:47Z,2025-03-03T02:44:43Z,1,0,0,MIT License,[],64
calculator,0,0,0,0,0,1,6,3,0,1,9,ntjnh/calculator,https://github.com/ntjnh/calculator,A calculator built with JavaScript!,JavaScript,2018-01-06T00:31:28Z,2025-03-07T09:44:15Z,2025-03-09T22:48:26Z,1,0,0,,[],67
calendar_weekly,0,0,0,0,0,5,92,3,0,0,100,jbrodie/calendar_weekly,https://github.com/jbrodie/calendar_weekly,Magic Mirror Weekly Calendar Module.,JavaScript,2018-01-13T19:20:38Z,2025-03-09T17:57:01Z,2025-03-09T17:56:57Z,1,0,2,MIT License,[],599
canboatjs,0,0,0,0,0,2,92,6,0,0,100,canboat/canboatjs,https://github.com/canboat/canboatjs,Native javascript NMEA 2000 decoder and encoder,JavaScript,2018-01-24T07:22:10Z,2025-03-12T14:31:27Z,2025-03-11T04:26:59Z,100,43,8,Apache License 2.0,[],671
ccd97.github.io,0,0,0,0,0,0,46,2,0,5,43,ccd97/ccd97.github.io,https://github.com/ccd97/ccd97.github.io,My portfolio and resume,JavaScript,2018-01-03T16:10:09Z,2025-03-04T09:35:18Z,2025-03-04T09:35:15Z,0,0,0,,"['portfolio-website', 'resume-website', 'semantic-ui']",170
cfn-execute-change-set,7,27,16,2,52,3,3,0,0,0,6,sjakthol/cfn-execute-change-set,https://github.com/sjakthol/cfn-execute-change-set,A command line tool for reviewing and executing AWS CloudFormation change sets,JavaScript,2018-01-21T13:34:58Z,2025-03-12T01:16:23Z,2025-03-10T15:45:28Z,3,1,0,MIT License,"['aws', 'cloudformation']",20
cfn-schema,11,49,37,1,98,0,3,0,0,2,1,y13i/cfn-schema,https://github.com/y13i/cfn-schema,JSON Schema for AWS CloudFormation templates.,JavaScript,2018-01-28T04:52:37Z,2025-02-14T03:51:52Z,2025-03-12T11:29:54Z,10,1,7,MIT License,"['aws', 'cloudformation', 'json-schema']",25
ChangWinde.github.io,0,0,0,0,0,0,100,0,0,45,55,ChangWinde/ChangWinde.github.io,https://github.com/ChangWinde/ChangWinde.github.io,My blog,JavaScript,2018-01-28T12:42:55Z,2025-03-08T10:41:42Z,2025-03-08T10:41:36Z,2,0,0,,[],437
client,0,0,0,0,0,4,95,1,0,4,96,pageboard/client,https://github.com/pageboard/client,Web site building system - client packages,JavaScript,2018-01-08T09:12:42Z,2025-02-11T10:46:43Z,2025-02-11T10:46:39Z,4,0,137,MIT License,[],477
CommandQueue,0,0,0,0,0,0,1,0,0,0,1,SQLCODE917/CommandQueue,https://github.com/SQLCODE917/CommandQueue,,JavaScript,2018-01-19T20:35:40Z,2025-03-06T22:18:50Z,2025-03-06T22:18:47Z,0,0,0,,[],5
Connective-Lex.info,0,0,0,0,0,15,74,11,0,3,97,discourse-lab/Connective-Lex.info,https://github.com/discourse-lab/Connective-Lex.info,A web app for a multilingual connective database.,JavaScript,2018-01-27T21:18:23Z,2025-02-17T10:35:35Z,2025-02-17T10:35:31Z,2,2,0,,[],584
Dabih,20,38,50,3,111,2,13,1,0,3,12,ShowingCloud/Dabih,https://github.com/ShowingCloud/Dabih,Single Sign-On System for Showing Cloud Projects,JavaScript,2018-01-12T04:26:42Z,2025-02-14T17:54:08Z,2025-02-14T17:54:11Z,0,2,0,MIT License,[],108
dan-mba.github.io,22,118,85,2,227,26,74,0,0,5,95,dan-mba/dan-mba.github.io,https://github.com/dan-mba/dan-mba.github.io,Portfolio website,JavaScript,2018-01-29T15:32:59Z,2025-03-14T11:36:21Z,2025-03-14T11:37:23Z,4,0,0,,"['gatsby', 'graphql', 'javascript', 'material-ui', 'nodejs', 'playwright', 'react']",480
dashboard,38,151,118,4,311,22,41,37,0,4,96,gardener/dashboard,https://github.com/gardener/dashboard,Web-based GUI for Gardener installations.,JavaScript,2018-01-23T13:43:58Z,2025-03-17T10:25:40Z,2025-03-17T19:07:56Z,208,110,96,Apache License 2.0,[],968
data-sources-parser,0,0,0,0,0,2,3,1,0,0,6,movableink/data-sources-parser,https://github.com/movableink/data-sources-parser,A library for normalizing the links and urls in a fetched html resource,JavaScript,2018-01-26T20:32:28Z,2025-03-06T23:15:49Z,2025-03-06T23:15:48Z,0,0,0,,[],63
dd-trace-js,0,0,0,0,0,0,42,58,0,3,97,DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js,Datadog APM client for Node.js,JavaScript,2018-01-17T18:40:03Z,2025-03-14T15:56:12Z,2025-03-17T17:48:20Z,684,321,305,Other,"['apm', 'datadog', 'javascript', 'nodejs', 'opentracing', 'tracing']",1233
denmarkg.github.io,0,0,0,0,0,14,86,0,0,15,85,DenmarkG/denmarkg.github.io,https://github.com/DenmarkG/denmarkg.github.io,Personal Portfolio,JavaScript,2018-01-29T03:25:19Z,2025-03-06T16:22:36Z,2025-03-06T16:22:32Z,1,0,0,,[],892
DevAV,0,0,0,0,0,0,100,0,0,92,8,ervin210/DevAV,https://github.com/ervin210/DevAV,,JavaScript,2018-01-03T21:47:58Z,2025-03-17T10:25:12Z,2025-03-17T10:24:13Z,0,0,33,MIT License,[],100
DhananjayGupta300.github.io,0,0,0,0,0,20,79,1,0,15,85,DhananjayGupta300/DhananjayGupta300.github.io,https://github.com/DhananjayGupta300/DhananjayGupta300.github.io,My-Home-Page,JavaScript,2018-01-02T02:27:03Z,2025-02-18T03:10:01Z,2025-02-18T03:09:59Z,2,0,3,MIT License,[],487
