,ProjectName,pre19,pre20,pre21
0,ShayanPersonal.github.io,268,268,268
1,firefox-extensions,181,187,187
2,jquery.autoSizes,51,51,51
3,webpack-bugsnag-plugins,359,519,547
4,calendar_weekly,1271,1271,1734
5,videomost,69,69,69
6,upVotePlugin,247,304,350
7,homebrew,163,183,265
8,startpage,2466,2466,2466
9,larvitbase-www,832,838,852
10,soundTest,121,121,121
11,dan-mba.github.io,1030,11646,570
12,svn-repository-provider,45,0,0
13,Pool,186,186,186
14,electerm-locales,847,1360,2050
15,stats-of-the-storm,89127,89978,90198
16,discord-encryption,645,645,643
17,jquery-ui,11139,11139,11139
18,trkern.github.io,50882,146367,158628
19,django-globus-portal-framework,30154,30154,30154
20,zigbee-adapter,7734,8660,9795
21,orgajs,8097,1092,828
22,react-badly,87,87,85
23,canboatjs,2732,3596,4010
24,21ca.github.io,0,0,0
25,altcoin-charter,19798,19798,15486
26,Connective-Lex.info,43963,43963,43963
27,aggregation-repository-provider,196,0,0
28,personal_website,0,0,0
29,dhjz.github.io,95986,95986,95986
30,homebridge-music,386,389,405
31,emporniumuserscripts,739,1025,1051
32,sm-crypto,2560,2576,2718
33,ioBroker.spotify-premium,3881,3154,3154
34,webpack-mpa,172,172,172
35,BatGenV2,10327,10512,10518
36,moodle-tool_opencast,0,0,0
37,fluid,113,111,130
38,kis-jsdoc-plugin,513,719,719
39,puerto-rico-scoresheet,720,832,836
40,unimail,2665,2854,3131
41,nebrasketball,35,34,36
42,smerge,259,420,420
43,fsttheme,9361,9361,9361
44,TcNo-Steam-Card-Assistant,16461,4860,5080
45,lkft-website,6,234,291
46,Otee,1418,1418,1418
47,OldTimeHockey,20319,20346,17670
48,MPMBs,64701,64701,64701
49,salesforce-jwt-bearer-token-flow,57,57,88
50,dashboard,9493,13194,60753
51,DevAV,1048760,1048760,1048760
52,Nashira,479,252,252
53,highcharts-utils,133,18719,19277
54,remote,994,1206,1206
55,sonnen-dashboard,6700,6700,6700
56,gomoku,95,95,95
57,asl-public-api,1840,2853,4695
58,login.dfe.saml-assertions,1494,1578,1504
59,grid-form-builder,118746,130627,134234
60,wikipedia-viewer-reactjs,3093,3385,3874
61,RCGame.github.io,231604,231604,231604
62,vue-signature-pad,1274,815,723
63,prerender-alpine,10,10,15
64,maybe2020.github.io,43363,43363,43363
65,login.dfe.audit.winston-sequelize-transport,227,227,227
66,beeline-nodejs,2447,3343,4641
67,Dabih,77,1141,1141
68,mini_startpage,229,229,229
69,ThunderSite,44638,44638,44638
70,JZZ-input-Kbd,2103,2110,2210
71,bootcamp-manager,2118,1989,1989
72,website,9398,5334,5334
73,gauravagarwalr.com,450,645,672
74,cfn-schema,239,204,220
75,AHIA,670619,670619,670619
76,nono-sam,87,87,87
77,passing-notes,1999,2314,696
78,worker-factory,1131,1118,1179
79,kusamkaur16.github.io,96352,96352,96352
80,vip-cli,1154,1770,3699
81,NotesReview,696,20861,22534
82,prepply,654,660,660
83,three-mesh-bvh,17535,90250,175702
84,functional-data-grid,10394,10397,10397
85,surveyjs-wordpress,87023,90618,114772
86,website-source,100919,100919,100919
87,bugsnag-build-reporter-node,512,553,559
88,spoof-timezone,9216,9216,10230
89,karma-child-process,137,137,137
90,urdf-loaders,45072,46074,77457
91,api_automation_test,93319,95442,95442
92,miroshkin.github.io,37082,37119,37119
93,hello-world,4429,4429,4429
94,fastify-citgm,116,116,116
95,js.core,10196,3519,3992
96,CommandQueue,69,69,69
97,fredy,880,938,1147
98,Blocks-N-Head,14999,14999,14999
99,graphql-dotnet.github.io,38044,16868,21463
100,reneghosh.github.io,6135,6135,6135
101,duchuydo.github.io,108298,108298,18766
102,leetcode,294,500,500
103,ccd97.github.io,7363,7210,7210
104,MoizHasan,630,630,630
105,simple-server,16,16,15
106,hosea,38907,8904,8904
107,materialdesignweb,11622,15016,9583
108,bundler,264,263,84
109,TweetTest,48140,48140,48140
110,JavaScriptGrunnkurs,640,124987,124998
111,TCDI,4249,4249,4249
112,login.dfe.support,15083,17652,17870
113,laravel-mail-viewer,29316,7228,7228
114,zuhthebeg.github.com,1559,1559,1559
115,angular-devkit-schematics-cli-builds,885,296,314
116,sitefolio,1447,1447,1443
117,vue-nutrition-label,1066,1820,1820
118,react_playground,2924,2924,2924
119,app-builder,66103,70890,80672
120,hass,134,134,8054
121,stuart,233,233,233
122,fdk-node,719,774,954
123,LearningSystem,262165,378600,346918
