project,numberOfIssuesRelatedToConsistentCode,numberOfIssuesRelatedToIntentionalCode,numberOfIssuesRelatedToAdaptableCode,numberOfIssuesRelatedToResponsibleCode,numberOfBugs,numberOfVulnerabilities,numberOfCodeSmells,numberOfIssuesRelatedToMaintainability,numberOfIssuesRelatedToReliability,numberOfIssuesRelatedToSecurity,numberOfIssuesWithLowSeverity,numberOfIssuesWithMediumSeverity,numberOfIssuesWithHighSeverity,totalTimeNeededToRemoveDebts
adamsocrat,1,2,0,0,0,0,3,0,0,0,0,0,0,15min
3nations-bingo,0,3,0,0,2,0,1,0,0,0,0,0,0,20min
Actions,1,8,1,0,2,0,8,0,0,0,0,0,0,2h36min
aep-mobile-sdkdocs,10,24,1,0,0,0,35,0,0,0,0,0,0,2h48min
algorithm_study,0,28,1,0,2,0,27,0,0,0,0,0,0,6h14min
admin,2,97,1,0,8,0,92,0,0,0,0,0,0,6h32min
afpweb,2,95,3,0,4,0,96,0,0,0,0,0,0,9h39min
app-geolocalizaci-n,6,2,0,0,2,0,6,0,0,0,0,0,0,40min
AntoninSlejska.github.io,6,69,0,0,28,0,47,0,0,0,0,0,0,3h29min
algorithm,30,68,2,0,19,0,81,0,0,0,0,0,0,8h38min
3d,5,94,1,0,0,0,100,0,0,0,0,0,0,7h8min
alphabiz,3,93,4,0,9,0,91,0,0,0,0,0,0,9h15min
andreped.github.io,25,72,3,0,25,0,75,0,0,0,0,0,0,9h9min
arvidsandin.github.io,24,76,0,0,22,0,78,0,0,0,0,0,0,8h7min
array-typed-complex,14,81,5,0,17,0,83,0,0,0,0,0,0,11h55min
auto-contributer,0,1,0,0,1,0,0,0,0,0,0,0,0,5min
atuannguyen.github.io,21,76,3,0,22,0,78,0,0,0,0,0,0,10h14min
awesome-web3,5,0,0,0,0,0,5,0,0,0,0,0,0,25min
attendees32,7,79,14,0,3,0,97,0,0,0,0,0,0,11h45min
ArchiCG,6,94,0,0,32,0,68,0,0,0,0,0,0,11h18min
BaiduFanyi_Crawler,1,14,0,0,0,0,15,0,0,0,0,0,0,1h15min
aziendasanitaria-utils,14,74,12,0,10,0,90,0,0,0,0,0,0,11h42min
BeatSaber-Web-Replays,24,66,10,0,4,0,96,0,0,0,0,0,0,13h28min
bike-fun,2,97,1,0,0,0,100,0,0,0,0,0,0,12h59min
blogtini,23,74,3,0,23,0,77,0,0,0,0,0,0,8h33min
azdataGraph,17,77,6,0,15,0,85,0,0,0,0,0,0,7h48min
bosenaja,0,1,0,0,0,0,1,0,0,0,0,0,0,2min
Bon,12,82,6,0,8,0,92,0,0,0,0,0,0,8h48min
blockquote-web-components,14,85,1,0,27,0,73,0,0,0,0,0,0,10h32min
bring-your-umbrella,75,25,0,0,0,0,100,0,0,0,0,0,0,8h17min
Brutal2,36,34,30,0,1,0,99,0,0,0,0,0,0,15h28min
cal,0,99,1,0,8,0,92,0,0,0,0,0,0,9h14min
bridge,68,25,7,0,6,0,94,0,0,0,0,0,0,10h32min
catalog_courses_update,60,40,0,0,4,0,96,0,0,0,0,0,0,9h42min
ChemicalStructureEditor,2,95,3,0,1,0,99,0,0,0,0,0,0,8h34min
cfi-commonplace-book,12,81,7,0,4,0,96,0,0,0,0,0,0,10h3min
chrislockard.net,69,31,0,0,9,0,91,0,0,0,0,0,0,10h8min
Chirpity-Electron,89,11,0,0,99,0,1,0,0,0,0,0,0,15h15min
collection-ui,63,37,0,0,6,0,94,0,0,0,0,0,0,8h20min
com.tomtom,3,32,2,0,5,0,32,0,0,0,0,0,0,3h20min
cilium.io,50,49,1,0,1,0,99,0,0,0,0,0,0,8h26min
community-images,4,22,4,1,5,1,25,0,0,0,0,0,0,4h40min
content-entry-transform,0,7,1,0,0,0,8,0,0,0,0,0,0,50min
codewars-katas,4,96,0,0,1,0,99,0,0,0,0,0,0,9h11min
Crypto-Tracker,11,1,0,0,0,0,12,0,0,0,0,0,0,1h
CS559-Lib,1,4,2,0,0,0,7,0,0,0,0,0,0,1h
curricularbwg,23,7,1,0,1,0,30,0,0,0,0,0,0,2h25min
cybertiwari,15,5,0,0,2,0,18,0,0,0,0,0,0,1h32min
cypress-crawl-example,4,0,4,0,4,0,4,0,0,0,0,0,0,1h40min
d3Charts,8,37,0,0,26,0,19,0,0,0,0,0,0,4h
csaf-validator-lib,3,67,30,0,2,0,98,0,0,0,0,0,0,17h2min
content-scope-scripts,11,54,35,0,19,2,79,0,0,0,0,0,0,17h56min
dashboard,25,49,26,0,0,2,98,0,0,0,0,0,0,13h52min
deno-bin-test-1,0,2,0,0,0,0,2,0,0,0,0,0,0,10min
dataflux,2,19,39,0,1,0,59,0,0,0,0,0,0,14h35min
docoff,0,5,1,0,4,0,2,0,0,0,0,0,0,41min
DevSummit-presentation,39,59,2,0,53,0,47,0,0,0,0,0,0,10h41min
docs-es,1,10,0,0,0,0,11,0,0,0,0,0,0,28min
docs,48,52,0,0,47,0,53,0,0,0,0,0,0,8h20min
dpl4server,13,83,4,0,1,0,99,0,0,0,0,0,0,10h49min
DSA,3,28,1,0,0,0,32,0,0,0,0,0,0,2h53min
e2z1.github.io,7,10,0,0,5,0,12,0,0,0,0,0,0,1h13min
EatDanbai,23,38,6,1,13,1,54,0,0,0,0,0,0,10h33min
echolacombe,17,25,19,0,2,0,59,0,0,0,0,0,0,5h1min
dotfiles,11,83,6,0,9,0,91,0,0,0,0,0,0,10h32min
eckles,23,71,6,0,5,0,95,0,0,0,0,0,0,6h55min
electron-hiprint,5,93,2,0,44,0,56,0,0,0,0,0,0,6h12min
ember-apply,4,29,5,0,2,0,36,0,0,0,0,0,0,4h9min
eslint-plugin-smarthr,8,81,11,0,0,0,100,0,0,0,0,0,0,14h19min
ewibot,10,63,24,0,1,0,96,0,0,0,0,0,0,13h36min
fenagh,23,77,0,0,1,0,99,0,0,0,0,0,0,8h9min
fetch,0,9,0,0,0,0,9,0,0,0,0,0,0,1h2min
faker3,14,78,5,3,11,3,86,0,0,0,0,0,0,15h37min
flat-voortgang,0,1,0,0,0,0,1,0,0,0,0,0,0,10min
fastropemadeira,78,20,2,0,1,0,99,0,0,0,0,0,0,8h3min
find-cypress-specs,3,5,0,0,0,0,8,0,0,0,0,0,0,31min
ffc-pay-request-editor,8,3,0,0,1,0,10,0,0,0,0,0,0,1h2min
fleteRos-frontend,58,42,0,0,2,0,98,0,0,0,0,0,0,7h
Foundry_WoD20,2,96,2,0,1,0,99,0,0,0,0,0,0,8h37min
FormPress,76,21,3,0,7,0,93,0,0,0,0,0,0,8h17min
fucking-awesome-mac,0,4,0,0,0,0,4,0,0,0,0,0,0,32min
fullstack,93,6,1,0,2,0,98,0,0,0,0,0,0,8h31min
funcSug,2,91,7,0,4,0,96,0,0,0,0,0,0,10h38min
fxserver-versions-scraper,0,3,0,0,1,0,2,0,0,0,0,0,0,15min
gDorigon.github.io,3,97,0,0,17,0,83,0,0,0,0,0,0,7h
frontend-monorepo,83,16,1,0,2,0,98,0,0,0,0,0,0,8h14min
git-commit-analytics,2,4,2,0,0,0,8,0,0,0,0,0,0,1h43min
github-action-contributors,31,65,4,0,21,0,79,0,0,0,0,0,0,8h53min
gittargets,9,91,0,0,79,0,21,0,0,0,0,0,0,2h52min
Google-Trends-Keywords-Scraper,1,2,0,0,0,0,3,0,0,0,0,0,0,15min
gmierzwinski.github.io,3,94,3,0,15,0,85,0,0,0,0,0,0,16h23min
Han-Yuan-Med.github.io,19,76,5,0,9,0,91,0,0,0,0,0,0,9h3min
Harry-Potter-character-searcher-React,63,3,0,0,0,0,66,0,0,0,0,0,0,5h30min
HatsAndCaps,7,36,4,0,13,0,34,0,0,0,0,0,0,5h37min
hap-toolkit,18,70,12,0,12,0,88,0,0,0,0,0,0,15h7min
helix-mediahandler,0,3,1,0,0,0,4,0,0,0,0,0,0,30min
hello-world-nextjs,23,5,0,0,3,0,25,0,0,0,0,0,0,2h40min
helix-sidekick-extension,34,35,31,0,12,0,88,0,0,0,0,0,0,16h15min
home-ops,3,97,0,0,2,57,41,0,0,0,0,0,0,20h53min
homebridge-deconz,5,65,30,0,14,0,86,0,0,0,0,0,0,17h5min
homeChange_vs2022,0,98,2,0,8,0,92,0,0,0,0,0,0,7h54min
IDEddy.github.io,2,14,0,0,0,0,16,0,0,0,0,0,0,1h20min
HTML-JavaScript-Gaming,7,86,7,0,6,0,94,0,0,0,0,0,0,7h13min
imageframe,2,94,4,0,0,0,100,0,0,0,0,0,0,9h4min
inotebook,28,10,1,0,3,0,36,0,0,0,0,0,0,3h7min
intelligent-EMB,65,31,4,0,2,0,98,0,0,0,0,0,0,7h54min
Interview-questions,2,20,0,0,4,0,18,0,0,0,0,0,0,2h7min
ip1-8191201,12,20,8,0,0,0,40,0,0,0,0,0,0,3h30min
ipv-cri-address-front,2,5,4,0,0,0,11,0,0,0,0,0,0,1h9min
ipv-cri-kbv-front,0,1,2,0,0,0,3,0,0,0,0,0,0,21min
Javascript-challenges,3,12,2,0,5,0,12,0,0,0,0,0,0,1h52min
JavascriptKeyboard,3,9,0,0,0,0,12,0,0,0,0,0,0,48min
jetpack-shared-extension-utils,4,6,0,0,0,0,10,0,0,0,0,0,0,1h
JavaScriptLearning,2,98,0,0,6,0,94,0,0,0,0,0,0,8h57min
jradziejewski,10,17,1,0,9,0,19,0,0,0,0,0,0,1h56min
