project,numberOfIssuesRelatedToConsistentCode,numberOfIssuesRelatedToIntentionalCode,numberOfIssuesRelatedToAdaptableCode,numberOfIssuesRelatedToResponsibleCode,numberOfBugs,numberOfVulnerabilities,numberOfCodeSmells,numberOfIssuesRelatedToMaintainability,numberOfIssuesRelatedToReliability,numberOfIssuesRelatedToSecurity,numberOfIssuesWithLowSeverity,numberOfIssuesWithMediumSeverity,numberOfIssuesWithHighSeverity,totalTimeNeededToRemoveDebts
aggregation-repository-provider,0,6,0,0,0,0,6,0,0,0,0,0,0,22min
6r1d.github.io,0,26,0,0,0,0,26,0,0,0,0,0,0,2h10min
altcoin-charter,52,36,1,1,4,1,85,0,0,0,0,0,0,7h14min
21ca.github.io,0,100,0,0,0,0,100,0,0,0,0,0,0,8h20min
alfaromontufar.github.io,8,85,7,0,16,0,84,0,0,0,0,0,0,10h38min
amadeus-node,3,12,13,0,7,0,21,0,0,0,0,0,0,5h56min
angular-devkit-core-builds,16,55,29,0,0,0,100,0,0,0,0,0,0,13h50min
angular-devkit-schematics-cli-builds,5,3,0,0,0,0,8,0,0,0,0,0,0,55min
AHIA,1,98,1,0,1,0,99,0,0,0,0,0,0,9h13min
angular-devkit-schematics-builds,20,66,12,0,1,0,97,0,0,0,0,0,0,9h44min
asl,16,0,1,0,0,0,17,0,0,0,0,0,0,1h25min
asl-public-api,5,6,10,0,0,0,21,0,0,0,0,0,0,4h15min
api_automation_test,4,42,53,1,0,1,99,0,0,0,0,0,0,32h54min
asl-service,28,8,5,0,2,0,39,0,0,0,0,0,0,4h42min
BatGenV2,1,98,1,0,2,0,98,0,0,0,0,0,0,9h59min
battle-pong,5,7,1,0,4,0,9,0,0,0,0,0,0,1h5min
Battle-City,0,100,0,0,17,0,83,0,0,0,0,0,0,7h4min
beeline-nodejs,13,15,9,0,2,0,35,0,0,0,0,0,0,5h16min
bga-payroll,11,84,5,0,10,0,90,0,0,0,0,0,0,8h20min
bio,4,96,0,0,11,0,89,0,0,0,0,0,0,7h34min
Blocks-N-Head,2,96,2,0,3,0,97,0,0,0,0,0,0,12h49min
blog.lucascantor.com,2,13,0,0,4,0,11,0,0,0,0,0,0,48min
blocks-script,18,76,6,0,0,0,100,0,0,0,0,0,0,9h14min
broker-factory,0,4,15,0,0,0,19,0,0,0,0,0,0,5h
bugsnag-build-reporter-node,0,7,0,0,3,0,4,0,0,0,0,0,0,50min
bootcamp-manager,65,33,2,0,4,0,96,0,0,0,0,0,0,8h1min
bundler,0,14,2,0,0,0,16,0,0,0,0,0,0,1h4min
calculator,1,6,3,0,1,0,9,0,0,0,0,0,0,1h7min
calendar_weekly,5,92,3,0,0,0,100,0,0,0,0,0,0,9h59min
ccd97.github.io,0,29,1,0,3,0,27,0,0,0,0,0,0,1h36min
canboatjs,1,94,5,0,1,0,99,0,0,0,0,0,0,10h25min
cfn-execute-change-set,2,3,0,0,0,0,5,0,0,0,0,0,0,15min
cfn-schema,0,2,0,0,2,0,0,0,0,0,0,0,0,20min
app-builder,0,54,46,0,13,0,87,0,0,0,0,0,0,18h41min
ChangWinde.github.io,0,100,0,0,45,0,55,0,0,0,0,0,0,7h17min
CommandQueue,0,1,0,0,0,0,1,0,0,0,0,0,0,5min
collage,6,4,1,0,1,0,10,0,0,0,0,0,0,55min
client,1,99,0,0,1,0,99,0,0,0,0,0,0,8h1min
Dabih,1,4,0,0,0,1,4,0,0,0,0,0,0,25min
data-sources-parser,2,3,1,0,0,0,6,0,0,0,0,0,0,1h3min
dan-mba.github.io,18,81,0,1,6,1,93,0,0,0,0,0,0,8h54min
Connective-Lex.info,15,74,11,0,3,0,97,0,0,0,0,0,0,9h44min
denmarkg.github.io,14,86,0,0,15,0,85,0,0,0,0,0,0,14h52min
dashboard,6,8,86,0,1,0,99,0,0,0,0,0,0,29h32min
dd-trace-js,19,47,34,0,10,0,90,0,0,0,0,0,0,17h29min
discord-encryption,3,42,3,0,0,0,48,0,0,0,0,0,0,4h56min
DhananjayGupta300.github.io,20,79,1,0,15,0,85,0,0,0,0,0,0,8h7min
dhjz.github.io,25,75,0,0,20,0,80,0,0,0,0,0,0,4h55min
dicomviewer,26,65,9,0,9,0,91,0,0,0,0,0,0,10h57min
django-auth0-vue,18,10,4,1,11,1,21,0,0,0,0,0,0,4h9min
django-globus-portal-framework,4,32,5,1,7,1,34,0,0,0,0,0,0,3h32min
DevAV,0,100,0,0,92,0,8,0,0,0,0,0,0,1h40min
electerm-locales,1,0,0,0,0,0,1,0,0,0,0,0,0,5min
ember-bootstrap-modals-manager,0,3,0,0,2,0,1,0,0,0,0,0,0,9min
ember-mobile-menu,0,3,0,0,2,0,1,0,0,0,0,0,0,9min
duchuydo.github.io,21,79,0,0,64,0,36,0,0,0,0,0,0,5h3min
elbum-demo,0,89,11,0,2,0,98,0,0,0,0,0,0,11h31min
ember-mobile-pane,0,17,1,0,2,0,16,0,0,0,0,0,0,50min
emporniumuserscripts,3,92,1,0,1,0,95,0,0,0,0,0,0,9h10min
eth-crypto,0,13,10,0,5,0,18,0,0,0,0,0,0,4h15min
ev-church-website,21,28,0,0,4,0,45,0,0,0,0,0,0,3h14min
fastify-citgm,0,4,0,0,0,0,4,0,0,0,0,0,0,17min
fdk-node,3,2,2,0,0,0,7,0,0,0,0,0,0,1h25min
find-this-value,0,4,0,0,0,0,4,0,0,0,0,0,0,20min
explorer,29,69,2,0,0,0,100,0,0,0,0,0,0,5h44min
firefox-extensions,1,32,0,0,2,0,31,0,0,0,0,0,0,2h33min
flespi-io-js,10,41,10,0,3,0,58,0,0,0,0,0,0,7h19min
fluid,8,16,4,0,1,0,27,0,0,0,0,0,0,2h42min
forte-table,76,24,0,0,5,0,95,0,0,0,0,0,0,7h47min
fosskers.ca,20,0,0,0,0,0,20,0,0,0,0,0,0,1h40min
fredy,0,4,7,0,3,0,8,0,0,0,0,0,0,2h40min
fsttheme,7,42,0,0,7,0,42,0,0,0,0,0,0,3h43min
functional-data-grid,46,50,4,0,22,0,78,0,0,0,0,0,0,8h55min
gauravagarwalr.com,15,2,0,0,0,0,17,0,0,0,0,0,0,1h25min
frontend,4,96,0,0,60,0,40,0,0,0,0,0,0,2h45min
gitlab,0,11,1,0,5,0,7,0,0,0,0,0,0,53min
gomoku,0,72,1,0,1,0,72,0,0,0,0,0,0,10h46min
graphql-dotnet.github.io,14,86,0,0,11,0,89,0,0,0,0,0,0,3h42min
georgegillams.co.uk,12,81,7,0,1,0,99,0,0,0,0,0,0,8h42min
group-sms,1,1,1,0,0,0,3,0,0,0,0,0,0,44min
grid-form-builder,18,79,3,0,4,0,96,0,0,0,0,0,0,9h29min
grunt-simple-nyc,0,1,0,0,0,0,1,0,0,0,0,0,0,5min
hapi-pg-rest-api,10,53,0,0,11,0,52,0,0,0,0,0,0,5h52min
hass,3,1,0,0,1,0,3,0,0,0,0,0,0,25min
hegyhati.github.io,5,24,0,0,4,0,25,0,0,0,0,0,0,2h28min
HeliosLauncher,26,55,19,0,34,0,66,0,0,0,0,0,0,11h19min
hello-world,5,92,3,0,1,0,99,0,0,0,0,0,0,8h47min
hexChess,14,85,1,0,0,0,100,0,0,0,0,0,0,9h14min
highcharts-utils,1,12,0,0,2,0,11,0,0,0,0,0,0,1h2min
homebrew,0,3,0,0,0,0,3,0,0,0,0,0,0,15min
homebridge-music,0,4,0,0,0,0,4,0,0,0,0,0,0,20min
hosted-fields-sdk,0,22,1,0,0,1,22,0,0,0,0,0,0,2h11min
hosea,4,90,6,0,6,0,94,0,0,0,0,0,0,10h53min
hopperrr.github.io,2,93,5,0,1,0,99,0,0,0,0,0,0,9h
html_to_md,3,26,1,0,5,0,25,0,0,0,0,0,0,1h38min
ext-product-reviews,11,80,9,0,4,0,96,0,0,0,0,0,0,10h3min
hotballoon,2,56,0,0,12,0,46,0,0,0,0,0,0,3h49min
Huebot,4,11,5,0,2,0,18,0,0,0,0,0,0,11h9min
id-auth,1,95,4,0,1,0,99,0,0,0,0,0,0,8h55min
image-raub,1,3,0,0,1,0,3,0,0,0,0,0,0,30min
idsia-robotics.github.io,6,91,3,0,1,0,99,0,0,0,0,0,0,12h7min
jamestim9215.github.io,8,92,0,0,0,0,100,0,0,0,0,0,0,9h20min
ioBroker.spotify-premium,12,83,5,0,9,0,91,0,0,0,0,0,0,9h36min
JavaScriptGrunnkurs,13,84,0,0,11,0,86,0,0,0,0,0,0,9h8min
jquery.autoSizes,0,16,1,0,1,0,16,0,0,0,0,0,0,1h49min
jquery-ui,1,99,0,0,31,0,69,0,0,0,0,0,0,9h32min
jvorob.github.io,13,86,1,0,3,0,97,0,0,0,0,0,0,11h41min
karma-child-process,0,6,0,0,0,0,6,0,0,0,0,0,0,30min
JZZ-input-Kbd,4,94,2,0,0,0,100,0,0,0,0,0,0,9h26min
js.core,81,18,1,0,2,0,98,0,0,0,0,0,0,10h3min
kis-jsdoc-plugin,0,4,0,0,2,0,2,0,0,0,0,0,0,20min
koha-plugin-cloudlibrary,14,83,3,0,1,0,99,0,0,0,0,0,0,10h34min
laravel-mail-viewer,15,13,0,0,4,0,24,0,0,0,0,0,0,1h2min
larvitbase-www,1,2,1,0,0,0,4,0,0,0,0,0,0,26min
launch-editor,4,2,1,0,0,0,7,0,0,0,0,0,0,45min
leetcode,7,27,0,0,2,0,32,0,0,0,0,0,0,2h47min
kusamkaur16.github.io,23,77,0,0,0,0,100,0,0,0,0,0,0,8h5min
LiveBot,7,20,7,0,12,0,22,0,0,0,0,0,0,3h57min
lkft-website,3,3,0,0,1,0,5,0,0,0,0,0,0,30min
local-weather-app-reactjs,25,10,0,0,8,0,27,0,0,0,0,0,0,3h8min
login.dfe.audit.winston-sequelize-transport,3,5,0,0,0,0,8,0,0,0,0,0,0,26min
login.dfe.saml-assertions,2,5,2,1,0,1,9,0,0,0,0,0,0,1h42min
luci-e.github.io,3,34,0,0,2,0,35,0,0,0,0,0,0,3h1min
main,39,61,0,0,21,0,79,0,0,0,0,0,0,6h40min
login.dfe.support,21,61,18,0,5,0,95,0,0,0,0,0,0,11h22min
manage-key-workers,51,34,15,0,0,0,100,0,0,0,0,0,0,11h55min
learn-web,5,94,1,0,12,0,88,0,0,0,0,0,0,7h24min
mathemat-lab,0,10,0,0,0,0,10,0,0,0,0,0,0,50min
materialdesignweb,23,56,21,0,1,0,99,0,0,0,0,0,0,13h20min
maproulette3,86,11,3,0,6,0,94,0,0,0,0,0,0,8h57min
Minesweeper-React,22,67,1,0,4,0,86,0,0,0,0,0,0,7h46min
maybe2020.github.io,19,74,7,0,14,0,86,0,0,0,0,0,0,9h47min
mini_startpage,6,35,0,0,9,0,32,0,0,0,0,0,0,3h5min
miroshkin.github.io,0,55,0,0,7,0,48,0,0,0,0,0,0,3h32min
mb-portfolio,6,93,1,0,6,0,94,0,0,0,0,0,0,9h20min
moodle-tool_opencast,11,7,6,0,0,0,24,0,0,0,0,0,0,1h44min
MoizHasan,24,73,2,0,27,0,72,0,0,0,0,0,0,7h28min
LearningSystem,25,71,0,4,37,4,59,0,0,0,0,0,0,7h28min
msdos-editor,6,92,2,0,6,0,94,0,0,0,0,0,0,7h47min
Nashira,0,4,0,0,2,0,2,0,0,0,0,0,0,17min
nebrasketball,1,18,1,0,3,0,17,0,0,0,0,0,0,1h6min
neelimasharma.github.io,0,1,0,0,0,0,1,0,0,0,0,0,0,5min
MPMBs,3,97,0,0,3,0,97,0,0,0,0,0,0,17h6min
