project,avg_commits_per_day,avg_lines_added_per_commit,avg_lines_deleted_per_commit
-Robotic-Arm---Haddington-Dynamics-Robotics-Engineering-,0.0018231540565177757,0.5,0.0
21ca.github.io,0.006381039197812215,141.85714285714286,0.14285714285714285
65,0.09845031905195989,134.11111111111111,94.00925925925925
6r1d.github.io,0.0027347310847766638,2032.3333333333333,1929.3333333333333
aggregation-repository-provider,1.9206927985414768,6.867584242999525,6.433317513051732
AHIA,0.010027347310847767,7300.636363636364,17.181818181818183
alfaromontufar.github.io,0.10209662716499544,240.16071428571428,8.571428571428571
altcoin-charter,0.06836827711941659,843.4933333333333,557.2266666666667
amadeus-node,0.2397447584320875,212.4828897338403,147.58555133079847
angular-devkit-core-builds,3.2452142206016408,7.302808988764045,3.7466292134831463
angular-devkit-schematics-builds,3.2415679124886054,5.866704161979753,3.9642857142857144
angular-devkit-schematics-cli-builds,3.2342752962625343,4.965896279594138,4.842164599774521
annict-backup,0.037374658158614404,143.41463414634146,97.29268292682927
annotation-tool,0.6463081130355515,93.83074753173484,95.65162200282087
api_automation_test,0.37465815861440294,1452.3114355231144,1361.5231143552312
app-builder,1.681859617137648,127.99349593495936,57.571273712737124
arcade-expressions,0.2643573381950775,89.12068965517241,38.99655172413793
asl,1.4402917046490429,83.49240506329114,73.94050632911393
asl-public-api,0.8641750227894257,55.22679324894515,36.166666666666664
asl-service,0.6554238833181404,100.51877607788596,82.64673157162726
atlas-tools,0.0018231540565177757,2926.5,0.0
balaji-venkatesh.github.io,0.03190519598906107,2.7142857142857144,2.4285714285714284
BatGenV2,0.032816773017319965,373.19444444444446,16.583333333333332
Battle-City,0.02552415679124886,5110.0,12.107142857142858
battle-pong,0.04102096627164995,9.8,9.088888888888889
beeline-nodejs,0.1804922515952598,192.63131313131314,105.57070707070707
bga-payroll,1.2133090246125797,2880.7498121712997,2027.9797145003756
bio,0.02643573381950775,394.55172413793105,102.06896551724138
Blocks-N-Head,0.01731996353691887,495.42105263157896,0.47368421052631576
blocks-script,0.20510483135824978,190.88888888888889,66.00444444444445
blog.lucascantor.com,0.15314494074749316,119.21428571428571,106.63095238095238
bootcamp-manager,0.0054694621695533276,3527.5,787.6666666666666
broker-factory,1.6709206927985414,58.82705946535734,50.95144571740317
bugsnag-build-reporter-node,0.04740200546946217,144.1346153846154,24.096153846153847
bundler,0.13673655423883319,29.18,21.746666666666666
calculator,0.03463992707383774,17.36842105263158,5.921052631578948
calendar_weekly,0.010938924339106655,494.5833333333333,51.25
canboatjs,0.30264357338195075,112.79819277108433,93.67771084337349
ccd97.github.io,0.020054694621695533,365.1818181818182,155.0
cfn-execute-change-set,0.02552415679124886,393.75,216.17857142857142
cfn-schema,0.4275296262534184,9627.957356076759,9594.518123667378
ChangWinde.github.io,0.004557885141294439,6558.6,15.4
cli,2.5569735642661806,35.29590017825312,29.16078431372549
client,2.5989061075660893,17.888810943528586,11.294984216064538
collage,0.0300820419325433,1414.7575757575758,1520.2727272727273
CommandQueue,0.0009115770282588879,358.0,0.0
Connective-Lex.info,0.02552415679124886,6323.071428571428,657.4285714285714
Dabih,0.04831358249772106,152.50943396226415,44.056603773584904
dan-mba.github.io,1.1422060164083865,64.10614525139665,48.36632083000798
dashboard,1.0929808568824066,284.3402835696414,185.01918265221016
data-sources-parser,0.03372835004557885,295.94594594594594,89.10810810810811
dd-trace-js,0.7447584320875114,100.9265605875153,31.990208078335375
denmarkg.github.io,0.08933454876937101,516.5612244897959,11.86734693877551
deps-freeimage-raub,0.11394712853236098,34.776,12.272
