project,avg_commits_per_day,avg_lines_added_per_commit,avg_lines_deleted_per_commit
3d,2.04,3828.8,728.8
3nations-bingo,4.2,19.88,16.76
abhiverma001,1.08,13.81,11.93
Actions,2.06,1018.06,727.94
adamsocrat,5.91,1.05,1.02
admin,4.43,478.28,402.73
aep-mobile-sdkdocs,4.11,155.19,135.58
afpweb,1.62,62.12,12.37
algorithm,1.34,29.11,4.14
algorithm_study,3.0,19.59,0.0
alphabiz,7.4,38.47,20.6
andreped.github.io,9.53,7.18,7.86
AntoninSlejska.github.io,3.14,701.59,61.09
app-geolocalizaci-n,1.5,422.33,5.67
ArchiCG,6.19,1221.15,38.82
array-typed-complex,3.87,1905.44,2710.61
arvidsandin.github.io,1.35,710.19,515.26
attendees32,2.66,241.13,108.2
atuannguyen.github.io,2.83,621.75,313.89
auto-contributer,98.76,1.01,0.01
autocannon,1.07,6.6,0.97
awesome-nostr,2.67,2.12,1.5
awesome-web3,3.27,14.06,8.23
azdataGraph,2.55,932.89,74.25
aziendasanitaria-utils,1.74,196.08,88.32
BaiduFanyi_Crawler,1.06,108.27,0.12
Baileys,2.88,17248.02,14353.55
BeatSaber-Web-Replays,1.76,422.43,178.27
bike-fun,6.21,381.67,225.83
blockquote-web-components,5.21,359.01,123.33
blogtini,4.61,125.92,58.17
Bon,2.07,98.29,34.31
bosenaja,21.98,1.01,1.0
bridge,4.62,280.05,186.72
bring-your-umbrella,12.07,3.53,1.06
Brutal2,1.56,336.69,179.67
cal,1.93,30.4,33.87
catalog_courses_update,1.75,4720.21,969.0
cfi-commonplace-book,2.06,1050.6,381.21
ChemicalStructureEditor,1.84,68.29,41.2
Chirpity-Electron,3.01,291.8,97.15
chrislockard.net,2.07,3266.93,2893.48
cilium.io,3.59,204.44,81.06
codewars-katas,1.75,40.01,1.28
coding-test,1.75,43.73,10.52
collection-ui,3.54,610.98,423.81
com.tomtom,2.5,68.43,15.4
community-images,2.17,188.56,55.06
