project,avg_commits_per_day,avg_lines_added_per_commit,avg_lines_deleted_per_commit
-Robotic-Arm---Haddington-Dynamics-Robotics-Engineering-,2.0,0.5,0.0
21ca.github.io,1.4,141.86,0.14
65,4.7,134.11,94.01
6r1d.github.io,3.0,2032.33,1929.33
aggregation-repository-provider,3.54,6.87,6.43
AHIA,1.22,7300.64,17.18
alfaromontufar.github.io,1.72,240.16,8.57
altcoin-charter,3.26,843.49,557.23
amadeus-node,2.66,212.48,147.59
angular-devkit-core-builds,5.35,7.3,3.75
angular-devkit-schematics-builds,5.35,5.87,3.96
angular-devkit-schematics-cli-builds,5.36,4.97,4.84
annict-backup,1.24,143.41,97.29
annotation-tool,3.22,93.83,95.65
api_automation_test,3.24,1452.31,1361.52
app-builder,4.16,127.99,57.57
arcade-expressions,2.9,89.12,39.0
asl,3.16,83.49,73.94
asl-public-api,2.79,55.23,36.17
asl-service,4.06,100.52,82.65
atlas-tools,1.0,2926.5,0.0
balaji-venkatesh.github.io,1.94,2.71,2.43
BatGenV2,1.57,373.19,16.58
Battle-City,3.5,5110.0,12.11
battle-pong,1.88,9.8,9.09
beeline-nodejs,1.71,192.63,105.57
bga-payroll,5.62,2880.75,2027.98
bio,3.22,394.55,102.07
Blocks-N-Head,3.8,495.42,0.47
blocks-script,1.86,190.89,66.0
blog.lucascantor.com,3.82,119.21,106.63
bootcamp-manager,1.0,3527.5,787.67
broker-factory,4.18,58.83,50.95
bugsnag-build-reporter-node,2.74,144.13,24.1
bundler,2.5,29.18,21.75
calculator,4.75,17.37,5.92
calendar_weekly,3.0,494.58,51.25
canboatjs,3.91,112.8,93.68
ccd97.github.io,1.69,365.18,155.0
cfn-execute-change-set,1.75,393.75,216.18
cfn-schema,2.46,9627.96,9594.52
ChangWinde.github.io,2.5,6558.6,15.4
cli,3.8,35.3,29.16
client,6.84,17.89,11.29
collage,1.32,1414.76,1520.27
CommandQueue,1.0,358.0,0.0
Connective-Lex.info,3.11,6323.07,657.43
Dabih,1.47,152.51,44.06
dan-mba.github.io,8.58,64.11,48.37
dashboard,2.99,284.34,185.02
data-sources-parser,4.11,295.95,89.11
dd-trace-js,2.11,100.93,31.99
denmarkg.github.io,3.38,516.56,11.87
deps-freeimage-raub,3.21,34.78,12.27
DevAV,1.5,312588.67,12.33
devops-bootcamp,3.77,120.45,13.9
DhananjayGupta300.github.io,8.6,25.39,7.3
dhjz.github.io,0.0,0.0,0.0
dicomviewer,1.69,312.47,126.2
discord-encryption,3.39,35.46,23.7
discourse-brand-header,1.22,34.5,14.95
discourse-characters-required,1.24,75.89,17.13
django-auth0-vue,1.75,358.57,3.57
django-globus-portal-framework,3.23,123.49,46.88
