Repository,Total Issues,Runtime Errors %,Performance Issues %,Async Programming %,State Management %,Browser Compatibility %,Security Vulnerabilities %,Dependency Management %,Framework-Specific %,Network & API %,Configuration & Build %,Top Categories
https://github.com/RahulTinku/Interview-questions,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
https://github.com/AdobeDocs/aep-mobile-sdkdocs,500,0.07,0.14,0.35,15.38,11.41,3.27,19.83,2.3,44.33,2.92,"Network & API, Dependency Management, State Management"
https://github.com/parserpp/ip_ports,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
https://github.com/johnjackoleary/cfi-commonplace-book,226,0.0,9.38,0.0,3.12,46.88,0.0,3.12,0.0,34.38,3.12,"Browser Compatibility, Network & API, Performance Issues"
https://github.com/maksimkurb/home-ops,500,0.65,1.13,0.85,3.74,14.26,2.89,37.88,1.51,20.31,16.79,"Dependency Management, Network & API, Configuration & Build"
https://github.com/hvs-game/hako,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
https://github.com/modernpoacher/hooks,52,0.94,3.92,4.08,2.83,10.83,8.16,41.6,2.04,16.8,8.79,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/sourcegraph/smoke-tests,80,3.51,2.01,5.62,4.82,13.35,2.91,32.93,1.2,20.78,12.85,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/OAI/tools.openapis.org,148,0.0,1.1,0.82,3.29,22.19,0.82,18.08,0.27,43.01,10.41,"Network & API, Browser Compatibility, Dependency Management"
https://github.com/shufflewzc/faker3,148,6.96,0.0,6.96,1.74,20.87,0.0,3.48,0.0,51.3,8.7,"Network & API, Browser Compatibility, Configuration & Build"
https://github.com/ChristopherJMiller/luma-homeops,500,0.0,0.0,0.0,0.04,19.9,0.08,40.01,0.0,19.98,19.98,"Dependency Management, Network & API, Configuration & Build"
