Repository,Total Issues,Runtime Errors %,Performance Issues %,Async Programming %,State Management %,Browser Compatibility %,Security Vulnerabilities %,Dependency Management %,Framework-Specific %,Network & API %,Configuration & Build %,Top Categories
https://github.com/RahulTinku/Interview-questions,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
https://github.com/AdobeDocs/aep-mobile-sdkdocs,792,0.26,0.26,0.35,14.13,13.09,3.39,19.74,2.83,42.48,3.48,"Network & API, Dependency Management, State Management"
https://github.com/parserpp/ip_ports,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
https://github.com/johnjackoleary/cfi-commonplace-book,226,0.0,9.38,0.0,3.12,46.88,0.0,3.12,0.0,34.38,3.12,"Browser Compatibility, Network & API, Performance Issues"
https://github.com/maksimkurb/home-ops,1198,0.5,0.72,0.6,3.09,16.01,1.84,37.84,1.44,20.32,17.63,"Dependency Management, Network & API, Configuration & Build"
https://github.com/hvs-game/hako,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
https://github.com/modernpoacher/hooks,52,0.94,3.92,4.08,2.83,10.83,8.16,41.6,2.04,16.8,8.79,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/sourcegraph/smoke-tests,80,3.51,2.01,5.62,4.82,13.35,2.91,32.93,1.2,20.78,12.85,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/OAI/tools.openapis.org,148,0.0,1.1,0.82,3.29,22.19,0.82,18.08,0.27,43.01,10.41,"Network & API, Browser Compatibility, Dependency Management"
https://github.com/shufflewzc/faker3,148,6.96,0.0,6.96,1.74,20.87,0.0,3.48,0.0,51.3,8.7,"Network & API, Browser Compatibility, Configuration & Build"
https://github.com/ChristopherJMiller/luma-homeops,2336,0.0,0.02,0.0,0.09,20.0,0.09,39.38,0.13,20.17,20.12,"Dependency Management, Network & API, Configuration & Build"
https://github.com/lightswitch05/node-version-audit,26,2.04,2.04,4.08,0.0,6.12,10.2,46.94,2.04,20.41,6.12,"Dependency Management, Network & API, Security Vulnerabilities"
https://github.com/nextcloud/user_migration,838,1.05,0.57,0.32,2.24,11.16,7.69,41.16,4.47,24.55,6.8,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/platformsh-templates/strapi4,780,0.0,0.0,0.0,1.9,1.07,0.0,1.66,0.59,90.62,4.16,"Network & API, Configuration & Build, State Management"
https://github.com/donmahallem/eslint-config,880,0.86,0.36,1.19,0.92,12.83,0.09,45.83,0.29,24.04,13.6,"Dependency Management, Network & API, Configuration & Build"
