Repository,Total Issues,Date Range,Runtime Errors %,Performance Issues %,Async Programming %,State Management %,Browser Compatibility %,Security Vulnerabilities %,Dependency Management %,Framework-Specific %,Network & API %,Configuration & Build %,Top Categories
https://github.com/AdobeDocs/aep-mobile-sdkdocs,731,issues created before 2025-01-01,0.28,0.28,0.37,13.81,13.16,3.58,20.22,2.88,42.03,3.39,"Network & API, Dependency Management, State Management"
https://github.com/parserpp/ip_ports,2,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
https://github.com/johnjackoleary/cfi-commonplace-book,204,issues created before 2025-01-01,0.0,10.34,0.0,3.45,41.38,0.0,3.45,0.0,37.93,3.45,"Browser Compatibility, Network & API, Performance Issues"
https://github.com/maksimkurb/home-ops,1176,issues created before 2025-01-01,0.49,0.71,0.6,3.08,16.04,1.86,37.71,1.43,20.39,17.7,"Dependency Management, Network & API, Configuration & Build"
https://github.com/hvs-game/hako,1,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
https://github.com/modernpoacher/hooks,52,issues created before 2025-01-01,0.94,3.92,4.08,2.83,10.83,8.16,41.6,2.04,16.8,8.79,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/sourcegraph/smoke-tests,74,issues created before 2025-01-01,3.0,1.73,5.88,4.38,13.49,1.96,34.37,1.27,20.53,13.38,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/OAI/tools.openapis.org,140,issues created before 2025-01-01,0.0,1.2,0.6,3.59,22.46,0.9,17.66,0.3,41.92,11.38,"Network & API, Browser Compatibility, Dependency Management"
https://github.com/shufflewzc/faker3,137,issues created before 2025-01-01,5.49,0.0,5.49,0.0,23.08,0.0,2.2,0.0,53.85,9.89,"Network & API, Browser Compatibility, Configuration & Build"
https://github.com/ChristopherJMiller/luma-homeops,2145,issues created before 2025-01-01,0.0,0.02,0.0,0.1,20.0,0.1,39.32,0.14,20.18,20.14,"Dependency Management, Network & API, Configuration & Build"
https://github.com/lightswitch05/node-version-audit,25,issues created before 2025-01-01,2.04,2.04,4.08,0.0,6.12,10.2,46.94,2.04,20.41,6.12,"Dependency Management, Network & API, Security Vulnerabilities"
https://github.com/nextcloud/user_migration,798,issues created before 2025-01-01,1.07,0.59,0.33,2.25,11.23,7.75,41.15,4.55,24.35,6.73,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/platformsh-templates/strapi4,685,issues created before 2025-01-01,0.0,0.0,0.0,2.14,1.2,0.0,1.87,0.67,89.42,4.69,"Network & API, Configuration & Build, State Management"
https://github.com/donmahallem/eslint-config,789,issues created before 2025-01-01,0.82,0.38,1.13,0.88,12.75,0.09,46.28,0.28,23.87,13.53,"Dependency Management, Network & API, Configuration & Build"
https://github.com/sumanbiswas7/sumanbiswas7,2,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,"Dependency Management, Runtime Errors, Performance Issues"
https://github.com/validblock/stromausfall-snapshots,3,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
https://github.com/yousfiSaad/covidsdashboard-data,3,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
https://github.com/brave/token-lists,164,issues created before 2025-01-01,1.59,1.36,2.72,2.04,13.62,4.99,35.64,0.11,26.11,11.8,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/Correia-jpv/fucking-awesome-mac,1,issues created before 2025-01-01,0.0,0.0,0.0,0.0,18.18,0.0,36.36,9.09,18.18,18.18,"Dependency Management, Browser Compatibility, Network & API"
https://github.com/abhiverma001/abhiverma001,1,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
