,projectName,Repository,Total Issues,Date Range,Runtime Errors %,Performance Issues %,Async Programming %,State Management %,Browser Compatibility %,Security Vulnerabilities %,Dependency Management %,Framework-Specific %,Network & API %,Configuration & Build %,Top Categories
0,3d,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
1,3nations-bingo,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
2,adamsocrat,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
3,admin,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
4,aep-mobile-sdkdocs,aep-mobile-sdkdocs,731.0,issues created before 2025-01-01,0.28,0.28,0.37,13.81,13.16,3.58,20.22,2.88,42.03,3.39,"Network & API, Dependency Management, State Management"
5,afpweb,afpweb,1.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,"Network & API, Runtime Errors, Performance Issues"
6,algorithm,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
7,algorithm_study,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
8,alphabiz,alphabiz,35.0,issues created before 2025-01-01,1.52,1.14,2.65,0.76,12.5,10.98,45.08,0.76,20.83,3.79,"Dependency Management, Network & API, Browser Compatibility"
9,andreped.github.io,andreped.github.io,9.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,57.14,0.0,14.29,0.0,28.57,0.0,"Browser Compatibility, Network & API, Dependency Management"
10,AntoninSlejska.github.io,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
11,app-geolocalizaci-n,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
12,ArchiCG,ArchiCG,11.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,60.0,0.0,10.0,0.0,30.0,0.0,"Browser Compatibility, Network & API, Dependency Management"
13,array-typed-complex,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
14,arvidsandin.github.io,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
15,attendees32,attendees32,42.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,14.74,10.53,45.26,1.05,21.05,7.37,"Dependency Management, Network & API, Browser Compatibility"
16,atuannguyen.github.io,atuannguyen.github.io,1.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Runtime Errors, Performance Issues, Async Programming"
17,auto-contributer,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
18,awesome-web3,awesome-web3,432.0,issues created before 2025-01-01,0.81,1.77,1.88,2.66,10.1,7.03,34.53,3.88,22.72,14.62,"Dependency Management, Network & API, Configuration & Build"
