Repository,Total Issues,Runtime Errors %,Performance Issues %,Async Programming %,State Management %,Browser Compatibility %,Security Vulnerabilities %,Dependency Management %,Framework-Specific %,Network & API %,Configuration & Build %,Top Categories
https://github.com/Automattic/vip-cli,500,1.83,1.02,1.57,2.01,9.99,6.07,37.6,1.15,24.54,14.21,"Dependency Management, Network & API, Configuration & Build"
https://github.com/arlac77/aggregation-repository-provider,500,0.08,0.04,0.36,0.36,17.73,7.61,50.16,0.36,19.78,3.52,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/semantic-release/gitlab-config,395,0.53,1.96,1.14,0.46,12.34,1.36,41.87,0.29,24.96,15.09,"Dependency Management, Network & API, Configuration & Build"
https://github.com/Jahia/site-settings-seo,294,0.0,3.07,0.0,2.25,11.27,7.58,14.75,2.46,53.28,5.33,"Network & API, Dependency Management, Browser Compatibility"
https://github.com/angular/schematics-angular-builds,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,"Framework-Specific, Runtime Errors, Performance Issues"
https://github.com/semantic-release/gitlab,500,0.76,0.24,1.34,0.91,12.74,1.16,41.33,0.46,26.89,14.17,"Dependency Management, Network & API, Configuration & Build"
https://github.com/ooni/explorer,500,1.54,1.03,1.18,2.42,23.0,5.22,22.85,4.56,32.92,5.29,"Network & API, Browser Compatibility, Dependency Management"
https://github.com/DFE-Digital/login.dfe.support,500,1.25,0.14,2.36,1.67,15.16,9.04,36.86,1.11,26.15,6.26,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/bugsnag/bugsnag-build-reporter-node,25,1.52,0.0,0.0,0.0,13.64,7.58,34.85,1.52,24.24,16.67,"Dependency Management, Network & API, Configuration & Build"
https://github.com/wix-incubator/wix-code-docs,500,13.04,0.72,5.07,5.8,33.33,2.9,0.0,10.14,27.17,1.81,"Browser Compatibility, Network & API, Runtime Errors"
https://github.com/arlac77/svn-repository-provider,500,0.12,0.18,0.24,0.12,21.08,6.08,51.88,0.12,17.21,2.98,"Dependency Management, Browser Compatibility, Network & API"
https://github.com/explorable-viz/fluid,500,0.19,4.73,0.38,10.61,38.26,0.0,17.61,3.22,11.55,13.45,"Browser Compatibility, Dependency Management, Configuration & Build"
https://github.com/egy186/annict-backup,319,1.9,0.51,2.05,1.75,10.35,7.21,44.78,0.97,19.31,11.16,"Dependency Management, Network & API, Configuration & Build"
https://github.com/discourse/discourse-brand-header,71,2.24,1.49,0.75,0.75,11.94,8.96,36.57,5.97,23.13,8.21,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/maniator/react-badly,500,1.61,2.15,2.67,1.75,10.39,8.83,43.79,2.13,18.12,8.55,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/discourse/discourse-characters-required,82,0.84,2.94,0.84,0.0,11.34,10.92,45.8,1.26,20.59,5.46,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/gardener/dashboard,500,1.67,1.55,2.62,4.08,16.3,1.98,35.88,6.56,16.71,12.65,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/ervin210/DevAV,109,0.58,0.58,1.93,0.58,21.86,28.82,14.89,16.63,12.19,1.93,"Security Vulnerabilities, Browser Compatibility, Framework-Specific"
https://github.com/githublitao/api_automation_test,126,2.94,1.21,2.25,2.6,10.73,7.79,28.89,2.25,32.01,9.34,"Network & API, Dependency Management, Browser Compatibility"
https://github.com/liuxinqiong/reading-notes,4,3.85,3.85,0.0,0.0,11.54,7.69,38.46,7.69,19.23,7.69,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/nickschot/ember-mobile-menu,500,1.77,1.26,1.79,1.77,12.49,0.73,40.55,1.07,23.07,15.5,"Dependency Management, Network & API, Configuration & Build"
https://github.com/gkjohnson/three-mesh-bvh,500,3.1,6.39,2.7,2.7,26.07,3.2,20.68,1.4,26.57,7.19,"Network & API, Browser Compatibility, Dependency Management"
https://github.com/nice-move/nice-move,177,0.73,0.37,0.73,1.62,13.36,2.13,38.18,2.13,26.51,14.24,"Dependency Management, Network & API, Configuration & Build"
