Repository,Total Issues,Date Range,Runtime Errors %,Performance Issues %,Async Programming %,State Management %,Browser Compatibility %,Security Vulnerabilities %,Dependency Management %,Framework-Specific %,Network & API %,Configuration & Build %,Top Categories
https://github.com/Automattic/vip-cli,622,issues created before 2021-01-01,2.73,1.55,3.8,3.76,14.26,1.04,37.59,1.9,17.67,15.71,"Dependency Management, Network & API, Configuration & Build"
https://github.com/arlac77/aggregation-repository-provider,1162,issues created before 2021-01-01,5.25,1.45,0.52,0.34,13.57,0.59,52.48,0.1,13.57,12.13,"Dependency Management, Browser Compatibility, Network & API"
https://github.com/semantic-release/gitlab-config,85,issues created before 2021-01-01,0.76,8.35,2.85,0.38,6.45,0.19,39.09,0.19,25.05,16.7,"Dependency Management, Network & API, Configuration & Build"
https://github.com/Jahia/site-settings-seo,12,issues created before 2021-01-01,0.0,4.76,0.0,0.0,9.52,15.87,33.33,0.0,26.98,9.52,"Dependency Management, Network & API, Security Vulnerabilities"
https://github.com/semantic-release/gitlab,192,issues created before 2021-01-01,2.22,6.67,4.44,1.55,8.02,1.84,32.85,0.58,29.08,12.75,"Dependency Management, Network & API, Configuration & Build"
https://github.com/ooni/explorer,533,issues created before 2021-01-01,1.38,2.07,0.34,4.37,26.55,1.49,8.62,7.93,44.6,2.64,"Network & API, Browser Compatibility, Dependency Management"
https://github.com/DFE-Digital/login.dfe.support,315,issues created before 2021-01-01,3.9,0.65,4.55,4.55,18.83,5.19,23.38,1.95,27.27,9.74,"Network & API, Dependency Management, Browser Compatibility"
https://github.com/bugsnag/bugsnag-build-reporter-node,11,issues created before 2021-01-01,3.85,0.0,0.0,0.0,11.54,0.0,26.92,3.85,34.62,19.23,"Network & API, Dependency Management, Configuration & Build"
https://github.com/wix-incubator/wix-code-docs,411,issues created before 2021-01-01,3.41,0.0,0.98,25.37,34.15,0.0,2.44,9.27,22.44,1.95,"Browser Compatibility, State Management, Network & API"
https://github.com/arlac77/svn-repository-provider,660,issues created before 2021-01-01,3.77,2.35,0.59,0.24,13.85,0.59,54.99,0.2,10.62,12.82,"Dependency Management, Browser Compatibility, Configuration & Build"
https://github.com/explorable-viz/fluid,393,issues created before 2021-01-01,4.71,6.93,0.55,16.07,33.24,0.55,17.17,3.05,8.03,9.7,"Browser Compatibility, Dependency Management, State Management"
https://github.com/egy186/annict-backup,41,issues created before 2021-01-01,2.39,0.0,2.73,0.68,14.33,0.0,47.78,0.34,15.7,16.04,"Dependency Management, Configuration & Build, Network & API"
https://github.com/discourse/discourse-brand-header,5,issues created before 2021-01-01,0.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,"Performance Issues, Browser Compatibility, Framework-Specific"
https://github.com/maniator/react-badly,57,issues created before 2021-01-01,3.72,1.33,3.59,4.12,7.84,7.3,37.32,2.92,18.19,13.68,"Dependency Management, Network & API, Configuration & Build"
https://github.com/discourse/discourse-characters-required,8,issues created before 2021-01-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,"Browser Compatibility, Runtime Errors, Performance Issues"
https://github.com/gardener/dashboard,928,issues created before 2021-01-01,0.29,1.24,0.91,3.78,35.18,2.3,11.78,4.55,28.48,11.49,"Browser Compatibility, Network & API, Dependency Management"
https://github.com/ervin210/DevAV,1,issues created before 2021-01-01,0.0,0.0,0.0,0.0,14.29,28.57,14.29,0.0,28.57,14.29,"Security Vulnerabilities, Network & API, Browser Compatibility"
https://github.com/githublitao/api_automation_test,83,issues created before 2021-01-01,1.66,1.1,1.1,3.31,8.84,7.73,20.44,3.31,43.65,8.84,"Network & API, Dependency Management, Browser Compatibility"
https://github.com/liuxinqiong/reading-notes,4,issues created before 2021-01-01,3.85,3.85,0.0,0.0,11.54,7.69,38.46,7.69,19.23,7.69,"Dependency Management, Network & API, Browser Compatibility"
https://github.com/nickschot/ember-mobile-menu,111,issues created before 2021-01-01,2.19,1.46,0.0,0.73,26.28,4.38,30.66,5.11,16.06,13.14,"Dependency Management, Browser Compatibility, Network & API"
https://github.com/gkjohnson/three-mesh-bvh,182,issues created before 2021-01-01,2.62,12.83,4.08,5.54,20.12,3.5,21.87,0.29,18.66,10.5,"Dependency Management, Browser Compatibility, Network & API"
https://github.com/nice-move/nice-move,19,issues created before 2021-01-01,1.62,0.54,1.62,1.62,10.27,8.11,39.46,2.16,22.7,11.89,"Dependency Management, Network & API, Configuration & Build"
https://github.com/maproulette/maproulette3,1478,issues created before 2021-01-01,1.07,2.07,0.57,5.85,38.84,1.19,6.41,4.84,30.36,8.8,"Browser Compatibility, Network & API, Configuration & Build"
