,projectName,Repository,Total Issues,Date Range,Runtime Errors %,Performance Issues %,Async Programming %,State Management %,Browser Compatibility %,Security Vulnerabilities %,Dependency Management %,Framework-Specific %,Network & API %,Configuration & Build %,Top Categories
0,21ca.github.io,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
1,6r1d.github.io,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
2,aggregation-repository-provider,aggregation-repository-provider,1162.0,issues created before 2021-01-01,5.25,1.45,0.52,0.34,13.57,0.59,52.48,0.1,13.57,12.13,"Dependency Management, Browser Compatibility, Network & API"
3,AHIA,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
4,alfaromontufar.github.io,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
5,altcoin-charter,altcoin-charter,3.0,issues created before 2021-01-01,9.52,0.0,0.0,0.0,9.52,9.52,47.62,0.0,19.05,4.76,"Dependency Management, Network & API, Runtime Errors"
6,angular-devkit-core-builds,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
7,angular-devkit-schematics-cli-builds,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
8,api_automation_test,api_automation_test,83.0,issues created before 2021-01-01,1.66,1.1,1.1,3.31,8.84,7.73,20.44,3.31,43.65,8.84,"Network & API, Dependency Management, Browser Compatibility"
9,asl-public-api,asl-public-api,309.0,issues created before 2021-01-01,2.19,1.09,2.19,2.92,22.63,3.28,21.53,0.73,35.4,8.03,"Network & API, Browser Compatibility, Dependency Management"
10,asl-service,asl-service,214.0,issues created before 2021-01-01,3.75,1.25,0.83,7.08,19.58,4.58,15.42,7.92,19.17,20.42,"Configuration & Build, Browser Compatibility, Network & API"
11,BatGenV2,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
12,Battle-City,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
13,battle-pong,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
14,beeline-nodejs,beeline-nodejs,271.0,issues created before 2021-01-01,3.03,0.61,14.81,9.34,12.01,2.31,16.75,1.09,32.28,7.77,"Network & API, Dependency Management, Async Programming"
15,bio,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
16,Blocks-N-Head,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
17,blocks-script,blocks-script,10.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,14.29,0.0,28.57,0.0,57.14,0.0,"Network & API, Dependency Management, Browser Compatibility"
18,bootcamp-manager,bootcamp-manager,8.0,issues created before 2021-01-01,1.04,1.04,3.12,3.12,9.38,9.38,41.67,0.0,19.79,11.46,"Dependency Management, Network & API, Configuration & Build"
19,bugsnag-build-reporter-node,bugsnag-build-reporter-node,11.0,issues created before 2021-01-01,3.85,0.0,0.0,0.0,11.54,0.0,26.92,3.85,34.62,19.23,"Network & API, Dependency Management, Configuration & Build"
20,bundler,bundler,245.0,issues created before 2021-01-01,2.77,1.95,1.95,4.58,9.34,8.66,40.06,0.0,24.26,6.43,"Dependency Management, Network & API, Browser Compatibility"
21,calculator,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
22,calendar_weekly,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
23,canboatjs,canboatjs,145.0,issues created before 2021-01-01,2.9,1.45,1.45,2.9,34.78,1.45,30.43,0.0,18.84,5.8,"Browser Compatibility, Dependency Management, Network & API"
24,ccd97.github.io,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
25,cfn-execute-change-set,cfn-execute-change-set,2.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,9.52,9.52,47.62,0.0,19.05,14.29,"Dependency Management, Network & API, Configuration & Build"
26,cfn-schema,cfn-schema,194.0,issues created before 2021-01-01,2.32,2.19,2.83,0.77,12.23,1.03,34.49,3.22,17.5,23.42,"Dependency Management, Configuration & Build, Network & API"
27,ChangWinde.github.io,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
28,client,client,165.0,issues created before 2021-01-01,2.64,5.29,1.32,8.37,29.07,0.88,4.41,1.76,41.41,4.85,"Network & API, Browser Compatibility, State Management"
29,CommandQueue,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
30,Connective-Lex.info,Connective-Lex.info,3.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,"Browser Compatibility, Runtime Errors, Performance Issues"
31,Dabih,Dabih,6.0,issues created before 2021-01-01,3.17,0.0,4.76,1.59,9.52,7.94,39.68,0.0,20.63,12.7,"Dependency Management, Network & API, Configuration & Build"
32,dan-mba.github.io,dan-mba.github.io,37.0,issues created before 2021-01-01,0.0,1.12,0.37,2.25,10.49,8.99,42.32,6.37,17.23,10.86,"Dependency Management, Network & API, Configuration & Build"
33,dashboard,dashboard,928.0,issues created before 2021-01-01,0.29,1.24,0.91,3.78,35.18,2.3,11.78,4.55,28.48,11.49,"Browser Compatibility, Network & API, Dependency Management"
34,data-sources-parser,data-sources-parser,8.0,issues created before 2021-01-01,0.0,5.56,0.0,0.0,33.33,0.0,5.56,16.67,22.22,16.67,"Browser Compatibility, Network & API, Framework-Specific"
35,dd-trace-js,dd-trace-js,1174.0,issues created before 2021-01-01,2.94,2.77,6.89,4.05,20.66,1.67,16.08,1.04,34.27,9.63,"Network & API, Browser Compatibility, Dependency Management"
36,denmarkg.github.io,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
37,DevAV,DevAV,1.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,14.29,28.57,14.29,0.0,28.57,14.29,"Security Vulnerabilities, Network & API, Browser Compatibility"
38,DhananjayGupta300.github.io,DhananjayGupta300.github.io,1.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,11.11,11.11,44.44,0.0,22.22,11.11,"Dependency Management, Network & API, Browser Compatibility"
39,dhjz.github.io,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
40,dicomviewer,dicomviewer,77.0,issues created before 2021-01-01,1.76,1.76,0.0,2.94,45.29,2.94,20.0,0.0,17.06,8.24,"Browser Compatibility, Dependency Management, Network & API"
41,discord-encryption,discord-encryption,8.0,issues created before 2021-01-01,0.0,0.0,0.0,7.69,38.46,15.38,0.0,0.0,38.46,0.0,"Browser Compatibility, Network & API, Security Vulnerabilities"
42,django-auth0-vue,django-auth0-vue,2.0,issues created before 2021-01-01,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,"Async Programming, Framework-Specific, Network & API"
43,django-globus-portal-framework,django-globus-portal-framework,133.0,issues created before 2021-01-01,0.71,3.2,0.0,2.49,26.33,0.71,9.61,14.95,31.32,10.68,"Network & API, Browser Compatibility, Framework-Specific"
44,duchuydo.github.io,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
45,electerm-locales,electerm-locales,14.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,"Network & API, Runtime Errors, Performance Issues"
46,ember-bootstrap-modals-manager,ember-bootstrap-modals-manager,30.0,issues created before 2021-01-01,0.86,0.0,0.86,0.0,12.07,7.76,43.1,3.45,22.41,9.48,"Dependency Management, Network & API, Browser Compatibility"
47,ember-mobile-menu,ember-mobile-menu,111.0,issues created before 2021-01-01,2.19,1.46,0.0,0.73,26.28,4.38,30.66,5.11,16.06,13.14,"Dependency Management, Browser Compatibility, Network & API"
48,ember-mobile-pane,ember-mobile-pane,24.0,issues created before 2021-01-01,0.85,1.69,0.85,0.0,10.17,10.17,42.37,2.54,19.49,11.86,"Dependency Management, Network & API, Configuration & Build"
49,emporniumuserscripts,,0.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
50,eth-crypto,eth-crypto,353.0,issues created before 2021-01-01,0.75,0.56,2.32,1.35,14.54,0.97,45.46,0.34,15.63,18.09,"Dependency Management, Configuration & Build, Network & API"
51,ev-church-website,ev-church-website,1.0,issues created before 2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,"Network & API, Runtime Errors, Performance Issues"
