repository,issues_analyzed,mean_days,std_dev_days,p25_days,median_days,p75_days,min_days,max_days,total_days,fast_resolutions
AdobeDocs/aep-mobile-sdkdocs,693,12.3292,37.8375,0.03,0.8179,6.3303,0.0001,478.8518,8544.1141,189
parserpp/ip_ports,2,208.9497,0.095,208.85,209.0447,209.0447,208.8547,209.0447,417.8994,0
johnjackoleary/cfi-commonplace-book,197,1.9617,13.7382,0.0,0.0004,0.0088,0.0,179.1467,386.4464,164
maksimkurb/home-ops,1145,14.4965,36.7282,0.1,0.1732,5.9838,0.0,377.1928,16598.5219,120
hvs-game/hako,1,0.0005,0.0,0.0,0.0005,0.0005,0.0005,0.0005,0.0005,1
modernpoacher/hooks,52,5.0243,16.8311,0.83,1.8417,3.8355,0.0871,123.4806,261.2651,0
sourcegraph/smoke-tests,52,104.4241,158.3158,0.8,25.9853,182.4637,0.004,735.3169,5430.0523,3
OAI/tools.openapis.org,115,13.5047,35.8856,0.0,0.0139,3.1517,0.0,257.6574,1553.0427,62
shufflewzc/faker3,112,153.5514,162.0581,10.18,105.1684,246.1191,0.0002,564.8384,17197.7548,7
ChristopherJMiller/luma-homeops,2141,0.4682,8.7214,0.0,0.0,0.0,0.0,247.7426,1002.3095,2131
lightswitch05/node-version-audit,24,13.2488,61.2511,0.0,0.0042,0.0125,0.0004,306.8446,317.9722,19
nextcloud/user_migration,769,8.8659,40.9109,0.1,1.2741,3.6202,0.0001,534.3372,6817.8683,120
platformsh-templates/strapi4,684,1.8869,20.0725,0.0,0.0033,0.0038,0.0023,360.0763,1290.6716,632
donmahallem/eslint-config,784,3.0128,24.0609,0.1,0.1323,0.183,0.0,230.7831,2362.0233,44
sumanbiswas7/sumanbiswas7,2,0.0007,0.0006,0.0,0.0013,0.0013,0.0001,0.0013,0.0014,2
validblock/stromausfall-snapshots,3,0.0004,0.0001,0.0,0.0004,0.0005,0.0002,0.0005,0.0011,3
yousfiSaad/covidsdashboard-data,3,0.0003,0.0003,0.0,0.0002,0.0007,0.0001,0.0007,0.0009,3
brave/token-lists,155,43.8851,95.8846,0.06,3.9001,38.1418,0.0005,497.8959,6802.1884,34
ossrs/srs-docs,71,43.1346,113.4682,0.01,0.7265,16.3571,0.0002,630.3034,3062.5556,24
rapidfort/community-images,933,7.5034,30.1295,0.06,0.9523,4.1332,0.0,422.4541,7000.6617,209
hua1995116/shaoshupai-trending-hot-search,1,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,1
WhiskeySockets/Baileys,849,23.89,57.5339,0.17,1.642,16.171,0.0,602.0977,20282.6001,129
suzuki-shunsuke/tfaction-docs,637,6.8849,51.8381,0.0,0.001,0.0017,0.0001,696.7272,4385.6613,545
mkatch/slowle,1,0.0002,0.0,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,1
imranmollajoy/bring-your-umbrella,11,0.0094,0.0005,0.01,0.0093,0.0097,0.009,0.0105,0.1037,11
teklynk/twitch_clips_player,9,173.807,235.0823,0.97,9.554,318.0347,0.0577,633.4759,1564.263,0
GuilhermeStracini/hello-world-nextjs,486,0.5907,2.0134,0.0,0.0199,0.4244,0.0001,31.9615,287.103,280
dargmuesli/github-actions,40,5.8372,21.1005,0.02,0.0612,0.289,0.0005,112.4147,233.4888,18
svt/bridge,52,150.3794,284.0368,0.0,0.1505,49.3891,0.0001,833.8548,7819.7313,26
biblioteksentralen/github-actions,38,2.0127,5.0655,0.0,0.073,1.7156,0.0001,24.5656,76.4841,16
jcorporation/spacepirates,102,4.0172,32.4422,0.01,0.0338,0.1388,0.0,328.8528,409.7519,53
lando/symfony,59,17.5053,34.1172,0.01,0.7456,12.8049,0.002,128.0273,1032.8151,18
neurobagel/legacy_annotation_tool,805,38.8052,81.4925,0.84,6.0979,30.2913,0.0001,580.4909,31238.1507,51
