repository,issues_analyzed,mean_days,std_dev_days,p25_days,median_days,p75_days,min_days,max_days,total_days,fast_resolutions
Automattic/vip-cli,543,18.8456,51.7067,0.4,2.7112,15.6897,0.0002,591.129,10233.1597,83
arlac77/aggregation-repository-provider,1161,0.2593,0.7745,0.01,0.023,0.1731,0.0,11.5286,301.0453,677
semantic-release/gitlab-config,83,4.2587,24.9377,0.02,0.0698,0.6068,0.0007,225.884,353.469,30
Jahia/site-settings-seo,12,103.0129,160.4158,2.13,9.7245,217.3913,0.0795,561.0237,1236.1554,0
semantic-release/gitlab,168,10.7356,40.1912,0.05,0.3738,4.1513,0.0026,334.8675,1803.5742,34
ooni/explorer,447,46.3677,75.5076,2.68,12.6753,58.0513,0.0001,468.8917,20726.3623,30
DFE-Digital/login.dfe.support,310,2.8176,14.96,0.0,0.026,0.5704,0.0002,210.9842,873.4552,175
bugsnag/bugsnag-build-reporter-node,8,7.6741,5.5233,4.75,7.6829,13.9108,0.0047,15.0116,61.3926,1
wix-incubator/wix-code-docs,407,3.5818,31.4403,0.0,0.0039,0.035,0.0,442.841,1457.7929,313
arlac77/svn-repository-provider,660,0.3627,1.394,0.01,0.0346,0.1824,0.0001,16.7906,239.3834,356
explorable-viz/fluid,370,28.6388,147.5478,0.0,0.0011,2.8394,0.0001,2481.7299,10596.3517,238
egy186/annict-backup,39,8.9657,32.918,0.02,0.3695,2.3891,0.0009,196.7579,349.6612,14
discourse/discourse-brand-header,5,0.5851,1.1058,0.0,0.0208,0.1039,0.0018,2.7954,2.9255,3
maniator/react-badly,41,12.2067,13.1653,3.0,11.9986,15.638,0.0025,63.6392,500.4734,2
discourse/discourse-characters-required,8,0.214,0.2716,0.06,0.0684,0.4266,0.0044,0.8361,1.7117,2
gardener/dashboard,862,35.7504,94.334,0.33,4.7357,24.8102,0.0004,928.8499,30816.877,119
githublitao/api_automation_test,74,104.0008,107.2573,6.14,68.9706,162.2094,0.0002,351.8436,7696.0558,10
liuxinqiong/reading-notes,1,170.3569,0.0,170.36,170.3569,170.3569,170.3569,170.3569,170.3569,0
nickschot/ember-mobile-menu,96,39.5703,111.8218,0.01,0.0535,5.7636,0.0001,656.9007,3798.7491,46
gkjohnson/three-mesh-bvh,151,79.7853,182.9456,0.82,3.0005,38.5456,0.0001,743.8137,12047.5781,15
nice-move/nice-move,17,19.3764,47.8878,0.13,1.7075,7.0043,0.0067,199.1045,329.398,3
maproulette/maproulette3,1423,32.6631,107.4665,0.02,0.5257,6.0349,0.0001,766.013,46479.5451,481
TheGiddyLimit/homebrew,729,0.9488,6.2972,0.04,0.1802,0.5296,0.0001,146.5225,691.6577,183
georgegillams/georgegillams.co.uk,817,11.1798,37.6574,0.01,0.0522,3.3705,0.0,364.4266,9133.9223,396
codeaholics/node-red-contrib-evohome,1,2.9682,0.0,2.97,2.9682,2.9682,2.9682,2.9682,2.9682,0
nick-less/webpack-compass-imagehelper,8,0.0716,0.082,0.01,0.0111,0.1962,0.0092,0.1962,0.5725,5
oclif/eslint-config-oclif,53,13.768,27.7967,0.46,2.9131,14.0015,0.002,161.12,729.7047,5
miroshkin/miroshkin.github.io,11,18.8629,47.2004,0.0,0.0049,0.0055,0.0006,162.4719,207.4921,9
kisssdev/kis-jsdoc-plugin,5,19.5289,16.5604,10.05,17.335,20.8289,0.007,49.4247,97.6446,1
ayselafsar/dicomviewer,61,39.4256,63.6939,1.48,9.8708,41.5689,0.001,324.3463,2404.9641,5
dhis2/user-app,620,3.2128,12.7467,0.06,0.2447,2.0108,0.0001,139.945,1991.9272,92
scratchfoundation/scratch-svg-renderer,151,37.508,84.1397,0.68,6.194,25.3852,0.0001,650.1987,5663.7048,25
qub-it/fenixedu-ulisboa-applications,2,2.0408,2.0052,0.04,4.046,4.046,0.0356,4.046,4.0815,1
liatrio/devops-bootcamp,149,6.2435,34.4617,0.0,0.1087,0.9637,0.0001,383.1345,930.2871,61
scriptex/webpack-mpa,579,1.0524,8.6549,0.27,0.4542,0.6991,0.0004,205.7734,609.3187,42
JaninaWibker/html_to_md,1,10.7456,0.0,10.75,10.7456,10.7456,10.7456,10.7456,10.7456,0
DataDog/dd-trace-js,1097,28.4496,105.1203,0.08,0.9338,5.1885,0.0001,883.0836,31209.159,236
superhero/js.core,25,7.3173,14.2982,0.01,0.206,6.2313,0.0008,61.9149,182.9319,9
WazeDev/WME-GIS-Layers,51,16.4549,40.2666,0.05,0.694,2.8805,0.0001,166.1671,839.2022,12
entando/app-builder,970,2.0644,11.1953,0.01,0.0692,0.8516,0.0001,232.8893,2002.462,440
snowflakedb/snowflake-connector-nodejs,106,12.7237,28.9536,0.03,0.8836,9.0258,0.0001,147.3525,1348.7138,31
dan-mba/dan-mba.github.io,37,0.5444,1.8805,0.0,0.198,0.2248,0.0001,11.5377,20.1435,13
Kikobeats/xml-urls,70,5.0218,30.2487,0.02,0.0987,0.3664,0.0002,247.3558,351.5295,26
sprx97/OldTimeHockey,56,156.5922,147.3483,5.96,194.0938,265.0541,0.0002,689.2495,8769.1615,3
graphql/graphql-over-http,128,16.1526,44.8296,0.11,0.5547,14.0025,0.0029,329.1566,2067.5373,19
scbd/oasis.cbd.int,39,0.1064,0.4495,0.0,0.0008,0.0404,0.0001,2.8494,4.151,30
travi/cli,1689,1.1336,18.3271,0.0,0.0028,0.0485,0.0,719.6238,1914.6839,1209
HeliumEdu/frontend,42,2.1947,6.6973,0.03,0.0789,0.1914,0.0005,31.1201,92.1764,15
mdefaux/forte-table,24,9.3108,18.3542,0.01,0.0885,6.7783,0.0003,61.6576,223.4583,7
chrisguttandin/broker-factory,234,0.5577,1.7202,0.05,0.1543,0.375,0.0012,14.8715,130.5036,41
chrisguttandin/worker-factory,246,0.5394,1.6927,0.05,0.1059,0.3399,0.0002,14.8531,132.69,52
shahkashani/stills,3,32.7901,43.7261,0.01,3.772,94.5899,0.0085,94.5899,98.3704,1
highcharts/highcharts-utils,28,33.7952,93.8903,0.1,0.8207,4.0446,0.0002,394.9334,946.2649,6
sauron4er/PLXK,12,77.7306,72.3867,19.94,55.4698,167.9457,0.0009,203.7016,932.7672,2
ROldford/puerto-rico-scoresheet,7,36.28,46.5146,0.55,2.7705,80.7733,0.224,126.6295,253.9597,0
DFE-Digital/login.dfe.audit.winston-sequelize-transport,20,1.346,5.5817,0.0,0.0151,0.0608,0.0011,25.6707,26.9195,14
jermbo/SampleAPIs,107,4.0343,19.5587,0.0,0.0011,0.1797,0.0001,154.762,431.6671,69
hmerritt/discord-encryption,7,153.3895,201.379,0.34,56.6904,459.0043,0.0168,479.0062,1073.7267,1
UKHomeOffice/asl,300,0.7642,2.6639,0.0,0.0124,0.1516,0.0001,33.923,229.2702,190
UKHomeOffice/asl-public-api,309,1.0208,2.3584,0.01,0.0555,0.8464,0.0004,16.9064,315.4289,147
DFE-Digital/login.dfe.saml-assertions,85,3.4614,27.2064,0.0,0.0092,0.0509,0.0001,251.4939,294.2167,58
pubkey/eth-crypto,342,1.7906,10.1367,0.04,0.0634,0.1117,0.0003,110.1597,612.3926,87
DEFRA/hapi-pg-rest-api,114,44.9806,73.0809,0.99,16.9733,58.3037,0.0001,429.5434,5127.788,22
neighborhood999/vue-signature-pad,255,19.5104,32.8017,0.04,4.4196,27.7264,0.0,305.7686,4975.1593,63
code16/website,15,0.0043,0.0157,0.0,0.0001,0.0001,0.0001,0.0631,0.0641,14
PorticoEstate/PorticoEstate,1393,0.244,4.9125,0.0,0.0001,0.0001,0.0,130.0034,339.8399,1367
nutritionix/vue-nutrition-label,3,0.1874,0.1326,0.0,0.268,0.2938,0.0005,0.2938,0.5623,1
UKHomeOffice/asl-service,214,0.7071,2.032,0.0,0.018,0.2332,0.0002,20.7485,151.3175,131
ninja33/ODH,57,49.8502,120.2998,0.39,1.7538,34.3738,0.0066,598.2802,2841.4602,4
electerm/electerm-locales,14,0.4443,0.7086,0.0,0.2769,0.5641,0.0001,2.7585,6.2201,6
arpesenti/sonnen-dashboard,2,0.0025,0.0016,0.0,0.0041,0.0041,0.0009,0.0041,0.005,2
canboat/canboatjs,138,4.0708,12.9254,0.0,0.0016,0.3794,0.0001,96.1549,561.7756,85
larvit/larvitbase-www,50,27.0216,69.3793,0.05,0.1137,21.0876,0.0011,354.0704,1351.0806,7
dvrpc/TCDI,5,1.1699,0.836,0.95,1.0588,1.0964,0.0817,2.6672,5.8494,0
sjakthol/cfn-execute-change-set,2,4.2393,2.5487,1.69,6.788,6.788,1.6906,6.788,8.4786,0
NitishPuri/ProcessingExperiments,2,0.0028,0.0028,0.0,0.0056,0.0056,0.0001,0.0056,0.0057,2
JuneAndGreen/sm-crypto,24,117.1732,163.1366,9.41,30.8426,271.1905,0.0386,585.0076,2812.1567,1
BuildFire/upVotePlugin,9,5.4702,12.727,0.02,0.4134,0.9238,0.0002,41.1227,49.2314,3
dscalzi/HeliosLauncher,108,25.4999,83.8535,0.11,0.7742,14.1417,0.0003,588.9508,2753.99,16
SebOuellette/LiveBot,85,42.522,121.8156,0.04,1.2523,9.8891,0.0002,696.0761,3614.3671,22
ebshimizu/stats-of-the-storm,294,17.0186,66.656,0.28,2.1107,9.1845,0.0,949.7661,5003.4616,45
funmaker/collage,5,33.269,46.0304,12.07,12.8101,16.0934,0.6377,124.7356,166.3449,0
HowProgrammingWorks/Pool,1,0.9096,0.0,0.91,0.9096,0.9096,0.9096,0.9096,0.9096,0
fastify/fastify-zipkin,20,52.5483,160.8804,0.25,0.775,8.7762,0.0541,692.0787,1050.9669,0
