repository,issues_analyzed,mean_days,std_dev_days,p25_days,median_days,p75_days,min_days,max_days,total_days,fast_resolutions
RahulTinku/Interview-questions,1,0.0012,0.0,0.0,0.0012,0.0012,0.0012,0.0012,0.0012,1
AdobeDocs/aep-mobile-sdkdocs,756,12.9252,40.0203,0.03,0.8104,6.3303,0.0001,478.8518,9771.4338,207
parserpp/ip_ports,2,208.9497,0.095,208.85,209.0447,209.0447,208.8547,209.0447,417.8994,0
johnjackoleary/cfi-commonplace-book,219,1.766,13.043,0.0,0.0003,0.0088,0.0,179.1467,386.7526,185
maksimkurb/home-ops,1163,14.4391,36.4802,0.1,0.18,6.2768,0.0,377.1928,16792.6462,120
hvs-game/hako,1,0.0005,0.0,0.0,0.0005,0.0005,0.0005,0.0005,0.0005,1
modernpoacher/hooks,52,5.0243,16.8311,0.83,1.8417,3.8355,0.0871,123.4806,261.2651,0
sourcegraph/smoke-tests,59,133.5529,230.6406,0.88,30.6562,182.4637,0.004,1081.1504,7879.6183,3
OAI/tools.openapis.org,118,13.1651,35.4889,0.0,0.0215,1.5495,0.0,257.6574,1553.4813,63
shufflewzc/faker3,114,151.5241,161.4236,9.01,102.6334,245.4553,0.0002,564.8384,17273.7498,8
ChristopherJMiller/luma-homeops,2332,0.4298,8.3576,0.0,0.0,0.0,0.0,247.7426,1002.3122,2322
lightswitch05/node-version-audit,26,14.9155,59.9182,0.0,0.0044,0.0125,0.0004,306.8446,387.8031,20
nextcloud/user_migration,809,8.6916,39.9795,0.09,1.2833,3.6185,0.0001,534.3372,7031.5337,128
platformsh-templates/strapi4,779,1.6617,18.8187,0.0,0.0034,0.0039,0.0023,360.0763,1294.435,725
donmahallem/eslint-config,879,4.1935,31.7899,0.1,0.1355,0.1916,0.0,408.0603,3686.1016,64
sumanbiswas7/sumanbiswas7,2,0.0007,0.0006,0.0,0.0013,0.0013,0.0001,0.0013,0.0014,2
validblock/stromausfall-snapshots,3,0.0004,0.0001,0.0,0.0004,0.0005,0.0002,0.0005,0.0011,3
yousfiSaad/covidsdashboard-data,3,0.0003,0.0003,0.0,0.0002,0.0007,0.0001,0.0007,0.0009,3
brave/token-lists,167,41.0413,92.9432,0.07,3.4196,26.6121,0.0005,497.8959,6853.9004,34
ossrs/srs-docs,78,43.1069,110.0654,0.01,0.7265,16.3571,0.0002,630.3034,3362.3385,27
DavitTec/node.it,3,0.0003,0.0001,0.0,0.0004,0.0005,0.0002,0.0005,0.001,3
rapidfort/community-images,983,10.8722,41.7887,0.06,0.9767,4.7436,0.0,436.1658,10687.3706,215
hua1995116/shaoshupai-trending-hot-search,1,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,1
WhiskeySockets/Baileys,949,23.9002,58.3865,0.15,1.4197,16.2229,0.0,602.0977,22681.2788,159
suzuki-shunsuke/tfaction-docs,762,5.7606,47.464,0.0,0.001,0.0013,0.0001,696.7272,4389.5504,665
mkatch/slowle,3,8.946,6.3441,0.0,12.8262,14.0116,0.0002,14.0116,26.838,1
imranmollajoy/bring-your-umbrella,11,0.0094,0.0005,0.01,0.0093,0.0097,0.009,0.0105,0.1037,11
teklynk/twitch_clips_player,12,191.4519,236.215,3.34,87.5679,508.95,0.0577,633.4759,2297.4234,0
GuilhermeStracini/hello-world-nextjs,539,0.5545,1.9229,0.0,0.0154,0.4232,0.0001,31.9615,298.8977,322
dargmuesli/github-actions,43,5.4329,20.4047,0.02,0.0612,0.2409,0.0005,112.4147,233.6145,20
svt/bridge,61,128.2366,267.5944,0.0,0.0011,10.9252,0.0001,833.8548,7822.4335,34
biblioteksentralen/github-actions,45,1.7181,4.7066,0.0,0.0423,0.8708,0.0001,24.5656,77.316,22
jcorporation/spacepirates,114,25.9238,118.0308,0.01,0.0445,0.2595,0.0,741.7318,2955.3186,55
lando/symfony,60,18.2143,34.2672,0.01,0.9401,14.1344,0.002,128.0273,1092.858,18
neurobagel/legacy_annotation_tool,842,40.1334,87.3373,0.83,6.0396,30.2913,0.0001,761.8594,33792.3267,52
jmugliston/putio-downloader,72,4.3242,6.6997,0.08,1.1248,7.0323,0.0001,25.7459,311.3413,15
adobe/helix-mediahandler,293,1.0819,13.1239,0.08,0.1124,0.162,0.0002,224.9575,316.9931,39
exercism/wasm,178,23.9505,114.1333,0.18,1.8468,4.9679,0.0002,1047.3484,4263.1886,27
adobe/helix-sidekick-extension,866,48.0256,144.9706,0.14,1.8187,12.6148,0.0001,1372.3236,41590.1655,61
BrightspaceUI/labs,580,1.9902,24.1566,0.0,0.0016,0.0227,0.0003,568.0171,1154.3032,458
cl4cnam/funcSug,21,0.0009,0.0006,0.0,0.0007,0.0011,0.0002,0.0031,0.0179,21
VincentJuge1987/VincentJuge1987.github.io,1,712.2888,0.0,712.29,712.2888,712.2888,712.2888,712.2888,712.2888,0
duckduckgo/content-scope-scripts,1544,10.1627,44.2405,0.16,1.0791,5.8803,0.0001,619.8787,15691.2539,244
usdigitalresponse/usdr-gost,3787,14.7071,58.7671,0.01,0.0263,3.5206,0.0001,993.8964,55695.7212,1988
arlac77/content-entry-transform,818,0.1078,0.2663,0.01,0.0309,0.0854,0.0,3.0983,88.2117,473
mits-gossau/web-components-toolbox,414,2.0137,9.2381,0.0,0.0142,0.7266,0.0,130.0589,833.6796,243
nfigay/ArchiCG,7,3.3408,3.0966,0.09,3.0023,6.8325,0.0002,6.9843,23.3854,1
DEFRA/ffc-pay-request-editor,141,15.2529,52.7505,0.94,2.8942,7.6863,0.0002,514.0905,2150.6557,14
jaywcjlove/github-action-contributors,25,61.9161,64.8462,11.54,28.2252,131.5448,0.0004,211.6309,1547.9019,3
simoneb/github-ensure-file,355,3.7835,14.8783,0.0,0.0004,0.0005,0.0001,133.9821,1343.1497,300
m-schaeffler/node-red-my-nodes,9,30.5047,32.7681,0.45,4.9406,66.0388,0.0086,74.8113,274.5426,1
mssjew/msswabot,1,0.003,0.0,0.0,0.003,0.003,0.003,0.003,0.003,1
republik/plattform,997,19.8915,71.2517,0.03,0.7279,7.0941,0.0,735.3116,19831.815,295
OC-ComputerScience/tutorscheduling-backend,231,2.327,8.2695,0.0,0.0002,0.5922,0.0,83.8915,537.5439,161
routmoute/fxserver-versions-scraper,1,0.0017,0.0,0.0,0.0017,0.0017,0.0017,0.0017,0.0017,1
wadoon/key-tools,121,3.4845,9.6687,0.2,0.8183,2.1228,0.0011,63.0226,421.6195,13
leehildebrand/Quotes,37,0.5555,1.2884,0.0,0.0065,0.6724,0.0001,5.6077,20.5545,24
EasyEyes/speaker-calibration,57,0.5466,1.9442,0.0,0.0025,0.0875,0.0001,13.995,31.1563,38
edurezende10/lcgbr-ecom,6,0.0024,0.0049,0.0,0.0002,0.0005,0.0001,0.0134,0.0144,6
sikt-no/docs,205,24.9539,74.333,0.0,0.0773,15.2564,0.0001,612.8597,5115.5394,97
ShabbirHasan1/NSE-BhavCopy-Daily,5,0.0014,0.0017,0.0,0.0002,0.0019,0.0001,0.0045,0.0069,5
vsimakhin/web-logbook,274,12.1008,43.2014,0.0,0.7497,5.8329,0.0001,445.7744,3315.6182,109
EricLondon/JavascriptKeyboard,74,9.863,25.1224,0.38,1.3424,4.9472,0.0008,164.9951,729.8591,4
gDorigon/gDorigon.github.io,1,0.0012,0.0,0.0,0.0012,0.0012,0.0012,0.0012,0.0012,1
seyanaracore/HatsAndCaps,2,0.0001,0.0,0.0,0.0002,0.0002,0.0001,0.0002,0.0002,2
EdgeDLT/seshat,1,0.0557,0.0,0.06,0.0557,0.0557,0.0557,0.0557,0.0557,0
FormPress/FormPress,1,1.1854,0.0,1.19,1.1854,1.1854,1.1854,1.1854,1.1854,0
ahmet/awesome-web3,465,1.644,14.5071,0.07,0.2185,0.3802,0.0001,230.6905,764.4831,84
lanekatris/monorepo,8,25.5783,67.1349,0.0,0.0011,1.4208,0.0002,203.1962,204.626,6
Babu-Mohammed-Izhan/portfolio-v2,2,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,2
andreped/andreped.github.io,8,11.2652,17.1528,0.0,1.0239,32.9004,0.0006,46.9103,90.1214,3
govuk-one-login/ipv-cri-address-front,1112,15.3031,64.6348,0.87,2.1545,8.9936,0.0017,912.9448,17017.101,143
govuk-one-login/ipv-cri-kbv-front,1174,10.7459,36.4196,0.99,1.0299,6.3333,0.0007,552.9858,12615.7313,136
leaningtech/webvm,161,51.883,141.9219,0.03,0.7664,9.0668,0.0001,976.1564,8353.155,45
tidalcycles/strudel,993,33.0989,112.523,0.01,0.7861,7.745,0.0001,1020.8797,32867.2546,325
jmugliston/roborock-controller-api,60,4.1935,9.1507,0.01,0.1155,2.5193,0.0001,40.1575,251.6124,19
mocowcow/mocowcow.github.io,1,6.2569,0.0,6.26,6.2569,6.2569,6.2569,6.2569,6.2569,0
