repository,issues_analyzed,mean_days,std_dev_days,p25_days,median_days,p75_days,min_days,max_days,total_days,fast_resolutions
Automattic/vip-cli,2268,48.1513,207.789,0.08,1.273,8.917,0.0001,1717.6247,109207.2356,493
arlac77/aggregation-repository-provider,3457,0.1806,0.5331,0.01,0.0306,0.1279,0.0,11.5286,624.2929,1921
semantic-release/gitlab-config,393,9.6155,63.6368,0.08,0.1303,0.2038,0.0007,1076.9051,3778.8931,38
Jahia/site-settings-seo,275,6.9554,40.1635,0.05,0.731,2.7969,0.0,561.0237,1912.746,60
semantic-release/gitlab,804,35.5158,143.0688,0.1,0.1809,4.1145,0.0001,1419.0006,28554.6685,70
ooni/explorer,885,138.4557,332.4599,2.71,19.1271,88.9204,0.0001,2608.7404,122533.2837,74
DFE-Digital/login.dfe.support,565,20.4516,95.898,0.01,0.1429,3.0283,0.0001,990.8392,11555.1758,241
bugsnag/bugsnag-build-reporter-node,22,20.7667,49.9638,0.11,7.6829,15.0116,0.004,242.1862,456.8681,4
wix-incubator/wix-code-docs,3283,18.0487,94.5026,0.0,0.0084,0.0854,0.0,1146.9906,59253.8691,2299
arlac77/svn-repository-provider,1482,0.227,1.0085,0.01,0.0282,0.1091,0.0001,16.7906,336.3859,861
explorable-viz/fluid,1148,33.0525,160.6244,0.0,0.0036,2.8911,0.0001,2481.7299,37944.2258,698
egy186/annict-backup,317,10.9553,28.0893,0.18,0.6991,9.6185,0.0001,263.037,3472.8452,33
discourse/discourse-brand-header,71,2.2513,6.452,0.02,0.0833,0.8756,0.0011,40.9257,159.8392,29
maniator/react-badly,987,11.8714,58.2445,0.0,0.0002,2.0028,0.0001,579.1202,11717.0369,692
discourse/discourse-characters-required,82,2.8892,16.3611,0.03,0.0696,0.8361,0.0007,145.1542,236.9176,28
gardener/dashboard,2282,43.8687,149.4427,0.22,3.457,16.2352,0.0001,1844.9467,100108.3081,357
ervin210/DevAV,11,348.7375,580.1191,0.02,11.4611,814.9907,0.0002,1873.8243,3836.1128,4
