,projectName,issues_analyzed,mean_days,std_dev_days,p25_days,median_days,p75_days,min_days,max_days,total_days
0,3d,,,,,,,,,
1,3nations-bingo,,,,,,,,,
2,adamsocrat,,,,,,,,,
3,admin,,,,,,,,,
4,aep-mobile-sdkdocs,693.0,12.3292,37.8375,0.03,0.8179,6.3303,0.0001,478.8518,8544.1141
5,afpweb,,,,,,,,,
6,algorithm,,,,,,,,,
7,algorithm_study,,,,,,,,,
8,alphabiz,26.0,27.7182,41.062,0.91,11.6623,31.4678,0.0008,182.853,720.6743
9,andreped.github.io,7.0,8.1744,16.1192,0.0,0.067,9.2158,0.0006,46.9103,57.221
10,AntoninSlejska.github.io,,,,,,,,,
11,app-geolocalizaci-n,,,,,,,,,
12,ArchiCG,7.0,3.3408,3.0966,0.09,3.0023,6.8325,0.0002,6.9843,23.3854
13,array-typed-complex,,,,,,,,,
14,arvidsandin.github.io,,,,,,,,,
15,attendees32,41.0,11.7222,29.0656,0.01,0.1089,3.9979,0.0004,117.9911,480.6109
16,atuannguyen.github.io,1.0,0.0016,0.0,0.0,0.0016,0.0016,0.0016,0.0016,0.0016
17,auto-contributer,,,,,,,,,
18,awesome-web3,430.0,1.7243,15.0803,0.06,0.2022,0.3775,0.0001,230.6905,741.468
19,azdataGraph,182.0,28.0987,136.8455,0.0,0.0013,0.1632,0.0001,792.6768,5113.9634
20,aziendasanitaria-utils,,,,,,,,,
21,Baileys,849.0,23.89,57.5339,0.17,1.642,16.171,0.0,602.0977,20282.6001
22,BeatSaber-Web-Replays,39.0,8.9947,42.7286,0.04,0.1659,0.6564,0.0027,269.3102,350.7916
23,bike-fun,,,,,,,,,
24,blockquote-web-components,94.0,0.0086,0.0268,0.0,0.0023,0.0032,0.0001,0.1871,0.8077
25,blogtini,3.0,0.0005,0.0003,0.0,0.0004,0.0009,0.0003,0.0009,0.0016
26,Bon,1.0,0.0004,0.0,0.0,0.0004,0.0004,0.0004,0.0004,0.0004
27,bosenaja,,,,,,,,,
28,bridge,52.0,150.3794,284.0368,0.0,0.1505,49.3891,0.0001,833.8548,7819.7313
29,bring-your-umbrella,11.0,0.0094,0.0005,0.01,0.0093,0.0097,0.009,0.0105,0.1037
30,Brutal2,,,,,,,,,
31,cal,7.0,0.3509,0.1763,0.09,0.449,0.509,0.084,0.5193,2.4561
32,catalog_courses_update,1.0,0.0002,0.0,0.0,0.0002,0.0002,0.0002,0.0002,0.0002
33,cfi-commonplace-book,197.0,1.9617,13.7382,0.0,0.0004,0.0088,0.0,179.1467,386.4464
34,Chirpity-Electron,113.0,14.9138,54.9183,0.25,1.1637,6.6047,0.0001,414.2923,1685.2623
35,chrislockard.net,,,,,,,,,
36,cilium.io,569.0,21.8343,78.6486,0.04,0.8034,4.9944,0.0,699.934,12423.7096
37,codewars-katas,,,,,,,,,
38,collection-ui,,,,,,,,,
39,com.tomtom,,,,,,,,,
40,community-images,933.0,7.5034,30.1295,0.06,0.9523,4.1332,0.0,422.4541,7000.6617
41,content-entry-transform,801.0,0.1082,0.2688,0.01,0.0304,0.0843,0.0,3.0983,86.6353
42,content-scope-scripts,1325.0,10.3254,44.4498,0.14,1.026,5.1901,0.0001,619.8787,13681.1036
43,Crypto-Tracker,,,,,,,,,
44,csaf-validator-lib,184.0,16.612,39.0043,0.04,1.404,8.0459,0.0006,285.4291,3056.6058
45,curricularbwg,,,,,,,,,
46,cybertiwari,,,,,,,,,
47,cypress-crawl-example,64.0,9.4138,34.8255,0.1,0.1345,0.8315,0.003,171.239,602.4854
48,d3Charts,,,,,,,,,
49,dashboard,7.0,5.1378,10.719,0.09,0.6018,2.1788,0.0018,31.3392,35.9649
50,dataflux,6.0,0.081,0.1778,0.0,0.0016,0.0026,0.0003,0.4785,0.4857
51,deno-bin-test-1,,,,,,,,,
52,DevSummit-presentation,3.0,0.2436,0.3444,0.0,0.0001,0.7306,0.0001,0.7306,0.7308
53,docoff,31.0,17.6235,34.1458,0.18,1.8921,14.1759,0.0001,119.1166,546.3283
54,docs,192.0,26.6119,76.5249,0.0,0.6454,23.8449,0.0001,612.8597,5109.4906
55,docs-es,870.0,14.262,20.58,1.53,4.7856,18.7263,0.0015,247.7685,12407.8976
56,dpl4server,,,,,,,,,
57,DSA,,,,,,,,,
58,e2z1.github.io,,,,,,,,,
59,EatDanbai,,,,,,,,,
60,echolacombe,,,,,,,,,
61,electron-hiprint,39.0,21.6172,76.1787,0.0,0.2167,8.7721,0.0001,449.7382,843.0701
62,ember-apply,556.0,11.6551,42.462,0.09,0.1669,1.4358,0.0003,481.3342,6480.24
63,eslint-plugin-smarthr,155.0,3.5261,6.8919,0.01,0.9226,3.9131,0.0001,45.1543,546.5529
64,ewibot,312.0,24.8268,56.2049,0.02,2.0597,18.058,0.0001,442.3401,7745.9636
65,faker3,112.0,153.5514,162.0581,10.18,105.1684,246.1191,0.0002,564.8384,17197.7548
66,fastropemadeira,,,,,,,,,
67,fenagh,1.0,0.0114,0.0,0.01,0.0114,0.0114,0.0114,0.0114,0.0114
68,fetch,,,,,,,,,
69,ffc-pay-request-editor,122.0,12.4198,48.2798,0.94,2.765,7.6861,0.0002,514.0905,1515.2108
70,find-cypress-specs,296.0,2.3773,15.061,0.02,0.1183,0.191,0.0001,231.0656,703.6733
71,flat-voortgang,,,,,,,,,
72,flex,1873.0,13.6216,45.1248,0.07,0.9526,6.0435,0.0001,599.7671,25513.2531
73,FormPress,1.0,1.1854,0.0,1.19,1.1854,1.1854,1.1854,1.1854,1.1854
74,fucking-awesome-mac,,,,,,,,,
75,fullstack,,,,,,,,,
76,funcSug,21.0,0.0009,0.0006,0.0,0.0007,0.0011,0.0002,0.0031,0.0179
77,fxserver-versions-scraper,1.0,0.0017,0.0,0.0,0.0017,0.0017,0.0017,0.0017,0.0017
78,github-action-contributors,23.0,62.7113,66.8553,5.45,28.2252,133.6929,0.0004,211.6309,1442.3595
79,gittargets,,,,,,,,,
80,gmierzwinski.github.io,,,,,,,,,
81,Google-Trends-Keywords-Scraper,23.0,58.2405,79.2062,0.02,44.6621,55.0347,0.0004,275.2912,1339.5311
