,projectName,issues_analyzed,mean_days,std_dev_days,p25_days,median_days,p75_days,min_days,max_days,total_days
0,21ca.github.io,,,,,,,,,
1,6r1d.github.io,,,,,,,,,
2,aggregation-repository-provider,1161.0,0.2593,0.7745,0.01,0.023,0.1731,0.0,11.5286,301.0453
3,AHIA,,,,,,,,,
4,alfaromontufar.github.io,,,,,,,,,
5,altcoin-charter,,,,,,,,,
6,angular-devkit-core-builds,,,,,,,,,
7,angular-devkit-schematics-cli-builds,,,,,,,,,
8,api_automation_test,74.0,104.0008,107.2573,6.14,68.9706,162.2094,0.0002,351.8436,7696.0558
9,asl-public-api,309.0,1.0208,2.3584,0.01,0.0555,0.8464,0.0004,16.9064,315.4289
10,asl-service,214.0,0.7071,2.032,0.0,0.018,0.2332,0.0002,20.7485,151.3175
11,BatGenV2,,,,,,,,,
12,Battle-City,,,,,,,,,
13,battle-pong,,,,,,,,,
14,beeline-nodejs,195.0,30.3119,98.3414,0.16,1.562,12.004,0.0002,834.3316,5910.826
15,bio,,,,,,,,,
16,Blocks-N-Head,,,,,,,,,
17,blocks-script,10.0,0.221,0.1991,0.04,0.1802,0.4582,0.0107,0.5761,2.21
18,bootcamp-manager,,,,,,,,,
19,bugsnag-build-reporter-node,8.0,7.6741,5.5233,4.75,7.6829,13.9108,0.0047,15.0116,61.3926
20,bundler,242.0,4.4026,6.9836,0.8,2.2778,4.8222,0.0008,61.4492,1065.4188
21,calculator,,,,,,,,,
22,calendar_weekly,,,,,,,,,
23,canboatjs,138.0,4.0708,12.9254,0.0,0.0016,0.3794,0.0001,96.1549,561.7756
24,ccd97.github.io,,,,,,,,,
25,cfn-execute-change-set,2.0,4.2393,2.5487,1.69,6.788,6.788,1.6906,6.788,8.4786
26,cfn-schema,192.0,2.9079,12.579,0.0,0.0004,0.0762,0.0,107.5289,558.3245
27,ChangWinde.github.io,,,,,,,,,
28,client,56.0,125.6589,162.6719,2.95,28.0262,327.1769,0.0006,485.1156,7036.8999
29,CommandQueue,,,,,,,,,
30,Connective-Lex.info,3.0,0.0001,0.0001,0.0,0.0001,0.0003,0.0001,0.0003,0.0004
31,Dabih,6.0,1.4635,1.5613,0.16,1.6497,2.0059,0.002,4.5296,8.7813
32,dan-mba.github.io,37.0,0.5444,1.8805,0.0,0.198,0.2248,0.0001,11.5377,20.1435
33,dashboard,862.0,35.7504,94.334,0.33,4.7357,24.8102,0.0004,928.8499,30816.877
34,data-sources-parser,8.0,0.7611,1.0282,0.03,0.1029,1.8467,0.0272,2.9131,6.089
35,dd-trace-js,1097.0,28.4496,105.1203,0.08,0.9338,5.1885,0.0001,883.0836,31209.159
36,denmarkg.github.io,,,,,,,,,
37,DevAV,,,,,,,,,
38,DhananjayGupta300.github.io,,,,,,,,,
39,dhjz.github.io,,,,,,,,,
40,dicomviewer,61.0,39.4256,63.6939,1.48,9.8708,41.5689,0.001,324.3463,2404.9641
41,discord-encryption,7.0,153.3895,201.379,0.34,56.6904,459.0043,0.0168,479.0062,1073.7267
42,django-auth0-vue,,,,,,,,,
43,django-globus-portal-framework,95.0,49.8068,89.4743,0.0,4.1591,40.8277,0.0001,353.3769,4731.6448
44,duchuydo.github.io,,,,,,,,,
45,electerm-locales,14.0,0.4443,0.7086,0.0,0.2769,0.5641,0.0001,2.7585,6.2201
46,ember-bootstrap-modals-manager,27.0,5.3734,15.497,0.06,0.7113,2.7839,0.0001,79.5775,145.0831
47,ember-mobile-menu,96.0,39.5703,111.8218,0.01,0.0535,5.7636,0.0001,656.9007,3798.7491
48,ember-mobile-pane,19.0,54.2242,100.1804,0.0,0.8514,60.5974,0.0,359.5602,1030.2594
49,emporniumuserscripts,,,,,,,,,
50,eth-crypto,342.0,1.7906,10.1367,0.04,0.0634,0.1117,0.0003,110.1597,612.3926
51,ev-church-website,1.0,1.0203,0.0,1.02,1.0203,1.0203,1.0203,1.0203,1.0203
52,explorer,447.0,46.3677,75.5076,2.68,12.6753,58.0513,0.0001,468.8917,20726.3623
53,fastify-citgm,1.0,0.8166,0.0,0.82,0.8166,0.8166,0.8166,0.8166,0.8166
54,fdk-node,26.0,17.0674,61.5946,0.06,0.8011,9.803,0.0015,323.1273,443.7519
55,find-this-value,2.0,0.0009,0.0001,0.0,0.001,0.001,0.0008,0.001,0.0019
